Model,Dataset,Shots,Configuration,Total Data,Data Acquired
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,12,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,13,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,14,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,15,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,16,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,17,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,18,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,19,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,20,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,21,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,22,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,23,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,24,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,25,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,26,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,27,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,28,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,29,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,30,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,31,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,32,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,33,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,34,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,35,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,36,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,37,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,38,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,39,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,40,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,41,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,42,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,43,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,44,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,45,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,46,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,47,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,48,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,49,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,50,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,51,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,52,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,53,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,54,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,55,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,0,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,1,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,2,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,3,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,4,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,5,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,6,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,7,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,8,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,9,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,10,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,11,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,12,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,13,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,14,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,15,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,16,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,17,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,18,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,19,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,20,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,21,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,22,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,23,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,24,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,25,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,26,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,27,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,28,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,29,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,30,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,31,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,32,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,33,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,34,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,35,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,36,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,37,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,38,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,39,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,40,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,41,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,42,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,43,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,44,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,45,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,46,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,47,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,48,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,49,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,50,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,51,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,52,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,53,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,54,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,zero_shot,55,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,0,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,1,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,2,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,3,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,4,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,5,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,6,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,7,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,8,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,9,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,10,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,11,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,12,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,13,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,14,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,15,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,16,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,17,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,18,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,19,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,20,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,21,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,22,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,23,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,24,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,25,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,26,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,27,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,28,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,29,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,30,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,31,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,32,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,33,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,34,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,35,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,36,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,37,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,38,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,39,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,40,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,41,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,42,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,43,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,44,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,45,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,46,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,47,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,48,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,49,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,50,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,51,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,52,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,53,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,54,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.anatomy,zero_shot,55,135.0,135
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,0,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,1,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,2,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,3,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,4,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,5,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,6,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,7,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,8,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,9,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,10,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,11,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,12,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,13,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,14,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,15,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,16,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,17,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,18,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,19,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,20,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,21,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,22,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,23,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,24,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,25,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,26,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,27,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,28,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,29,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,30,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,31,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,32,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,33,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,34,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,35,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,36,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,37,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,38,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,39,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,40,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,41,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,42,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,43,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,44,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,45,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,46,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,47,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,48,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,49,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,50,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,51,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,52,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,53,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,54,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.astronomy,zero_shot,55,152.0,152
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,0,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,1,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,2,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,3,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,4,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,5,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,6,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,7,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,8,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,9,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,10,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,11,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,12,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,13,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,14,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,15,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,16,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,17,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,18,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,19,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,20,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,21,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,22,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,23,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,24,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,25,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,26,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,27,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,28,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,29,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,30,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,31,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,32,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,33,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,34,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,35,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,36,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,37,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,38,100.0,100
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,zero_shot,39,100.0,100
