"statistic, pvalue, row is better than column",best set: template_7,template_9,template_37,template_30,template_38,template_6,template_33,template_31,template_23,template_36,template_21,template_3,template_16,template_5,template_4,template_11,template_2,template_35,template_41,template_39,template_17,template_29,template_13,template_34,template_20,template_22,template_25,template_40,template_28,template_19,template_8,template_24,template_12,template_32,template_18,template_10,template_44,template_26,template_27,template_1,template_45,template_49,template_47,template_46,template_48,template_15,template_50,template_52,template_0,template_14,template_42,template_51,template_53,template_43,group,accuracy
template_21,"21.00, 0.08, False","42.00, 0.26, False","51.00, 0.35, False","100.00, 0.63, False","99.00, 0.63, False","102.00, 0.63, False","54.00, 0.78, False","61.00, 0.79, False","39.00, 0.82, False","104.00, 0.95, False",None,"57.00, 1.00, True","109.00, 1.00, True","39.00, 1.00, True","103.00, 1.00, True","47.00, 1.00, True","101.00, 0.89, True","50.00, 0.84, True","64.00, 0.67, True","62.00, 0.66, True","61.00, 0.66, True","62.00, 0.66, True","41.00, 0.53, True","95.00, 0.62, True","101.00, 0.63, True","96.00, 0.62, True","33.00, 0.36, True","106.00, 0.59, True","109.00, 0.60, True","21.00, 0.21, True","101.00, 0.54, True","97.00, 0.44, True","96.00, 0.40, True","95.00, 0.40, True","93.00, 0.23, True","95.00, 0.21, True","101.00, 0.10, True","92.00, 0.06, True","8.00, 0.65, True","55.00, 0.01, True","65.00, 0.01, True","50.00, 0.00, True","50.00, 0.00, True","91.00, 0.01, True","90.00, 0.01, True","45.00, 0.00, True","92.00, 0.01, True","94.00, 0.01, True","94.00, 0.00, True","88.00, 0.00, True","95.00, 0.00, True","56.00, 0.00, True","5.00, 0.42, True","60.00, 0.00, True",A,0.528
template_3,"39.00, 0.15, False","35.00, 0.19, False","49.00, 0.29, False","93.00, 0.57, False","92.00, 0.56, False","94.00, 0.57, False","64.00, 0.73, False","42.00, 0.67, False","51.00, 0.77, False","98.00, 0.89, False","57.00, 1.00, False",None,"95.00, 1.00, None","59.00, 1.00, None","100.00, 1.00, None","54.00, 1.00, None","89.00, 0.94, True","56.00, 0.93, True","69.00, 0.74, True","58.00, 0.72, True","16.00, 0.51, True","76.00, 0.75, True","59.00, 0.65, True","96.00, 0.67, True","93.00, 0.67, True","86.00, 0.65, True","59.00, 0.53, True","97.00, 0.62, True","104.00, 0.63, True","65.00, 0.50, True","90.00, 0.56, True","91.00, 0.47, True","87.00, 0.42, True","93.00, 0.43, True","91.00, 0.26, True","86.00, 0.22, True","91.00, 0.10, True","83.00, 0.06, True","12.00, 0.85, True","75.00, 0.03, True","38.00, 0.00, True","40.00, 0.00, True","44.00, 0.00, True","90.00, 0.01, True","87.00, 0.01, True","77.00, 0.00, True","86.00, 0.01, True","90.00, 0.01, True","85.00, 0.00, True","77.00, 0.00, True","91.00, 0.00, True","40.00, 0.00, True","3.00, 0.73, True","54.00, 0.00, True",A,0.527
template_16,"92.00, 0.32, False","94.00, 0.40, False","94.00, 0.44, False","33.00, 0.36, False","61.00, 0.48, False","57.00, 0.47, False","100.00, 0.78, False","94.00, 0.77, False","100.00, 0.83, False","62.00, 0.86, False","109.00, 1.00, False","95.00, 1.00, True",None,"101.00, 1.00, None","66.00, 1.00, None","107.00, 1.00, None","26.00, 0.89, True","100.00, 0.94, True","103.00, 0.78, True","97.00, 0.78, True","93.00, 0.77, True","99.00, 0.78, True","95.00, 0.72, True","62.00, 0.60, True","58.00, 0.59, True","49.00, 0.56, True","101.00, 0.63, True","69.00, 0.56, True","77.00, 0.58, True","98.00, 0.58, True","41.00, 0.40, True","57.00, 0.37, True","61.00, 0.34, True","63.00, 0.35, True","61.00, 0.17, True","53.00, 0.13, True","52.00, 0.03, True","59.00, 0.03, True","15.00, 0.26, True","95.00, 0.04, True","94.00, 0.03, True","98.00, 0.02, True","91.00, 0.01, True","56.00, 0.00, True","53.00, 0.00, True","96.00, 0.01, True","56.00, 0.00, True","51.00, 0.00, True","65.00, 0.00, True","67.00, 0.00, True","73.00, 0.00, True","82.00, 0.00, True","9.00, 0.31, True","84.00, 0.00, True",A,0.527
template_5,"24.00, 0.08, False","39.00, 0.21, False","51.00, 0.30, False","96.00, 0.57, False","93.00, 0.57, False","93.00, 0.57, False","49.00, 0.69, False","60.00, 0.72, False","47.00, 0.76, False","100.00, 0.89, False","39.00, 1.00, False","59.00, 1.00, True","101.00, 1.00, True",None,"96.00, 1.00, None","45.00, 1.00, None","99.00, 0.94, True","59.00, 0.93, True","65.00, 0.73, True","62.00, 0.72, True","62.00, 0.72, True","62.00, 0.72, True","42.00, 0.60, True","93.00, 0.67, True","93.00, 0.67, True","88.00, 0.66, True","40.00, 0.46, True","99.00, 0.63, True","102.00, 0.63, True","27.00, 0.31, True","93.00, 0.57, True","92.00, 0.47, True","95.00, 0.44, True","90.00, 0.43, True","89.00, 0.25, True","89.00, 0.22, True","97.00, 0.10, True","88.00, 0.07, True","8.00, 0.65, True","48.00, 0.01, True","66.00, 0.01, True","54.00, 0.00, True","53.00, 0.00, True","89.00, 0.01, True","88.00, 0.01, True","43.00, 0.00, True","90.00, 0.01, True","90.00, 0.01, True","84.00, 0.00, True","79.00, 0.00, True","87.00, 0.00, True","52.00, 0.00, True","6.00, 0.45, True","59.00, 0.00, True",A,0.527
template_4,"90.00, 0.32, False","95.00, 0.40, False","86.00, 0.42, False","60.00, 0.48, False","49.00, 0.44, False","19.00, 0.24, False","93.00, 0.77, False","92.00, 0.77, False","96.00, 0.83, False","52.00, 0.85, False","103.00, 1.00, False","100.00, 1.00, True","66.00, 1.00, True","96.00, 1.00, True",None,"100.00, 1.00, None","59.00, 0.93, True","87.00, 0.94, True","96.00, 0.78, True","93.00, 0.77, True","99.00, 0.78, True","90.00, 0.77, True","94.00, 0.72, True","45.00, 0.54, True","25.00, 0.43, True","37.00, 0.51, True","98.00, 0.62, True","62.00, 0.54, True","59.00, 0.53, True","92.00, 0.56, True","34.00, 0.36, True","39.00, 0.29, True","35.00, 0.22, True","33.00, 0.21, True","19.00, 0.03, True","32.00, 0.06, True","62.00, 0.05, True","36.00, 0.01, True","15.00, 0.07, True","88.00, 0.04, True","95.00, 0.03, True","94.00, 0.02, True","91.00, 0.01, True","45.00, 0.00, True","42.00, 0.00, True","87.00, 0.01, True","48.00, 0.00, True","53.00, 0.00, True","47.00, 0.00, True","44.00, 0.00, True","59.00, 0.00, True","82.00, 0.00, True","9.00, 0.06, True","83.00, 0.00, True",A,0.527
template_11,"33.00, 0.12, False","24.00, 0.12, False","43.00, 0.27, False","97.00, 0.57, False","95.00, 0.57, False","96.00, 0.57, False","55.00, 0.71, False","54.00, 0.71, False","32.00, 0.72, False","101.00, 0.89, False","47.00, 1.00, False","54.00, 1.00, True","107.00, 1.00, True","45.00, 1.00, True","100.00, 1.00, True",None,"100.00, 0.94, True","51.00, 0.92, True","49.00, 0.69, True","44.00, 0.68, True","57.00, 0.71, True","59.00, 0.72, True","25.00, 0.50, True","94.00, 0.67, True","96.00, 0.67, True","90.00, 0.66, True","25.00, 0.36, True","100.00, 0.63, True","110.00, 0.64, True","44.00, 0.42, True","94.00, 0.57, True","91.00, 0.47, True","91.00, 0.43, True","93.00, 0.43, True","89.00, 0.25, True","89.00, 0.22, True","99.00, 0.11, True","89.00, 0.07, True","7.00, 1.00, None","55.00, 0.01, True","68.00, 0.01, True","54.00, 0.00, True","56.00, 0.00, True","89.00, 0.01, True","91.00, 0.01, True","51.00, 0.00, True","90.00, 0.01, True","88.00, 0.01, True","89.00, 0.00, True","83.00, 0.00, True","88.00, 0.00, True","54.00, 0.00, True","5.00, 0.77, True","67.00, 0.00, True",A,0.527
template_2,"88.00, 0.25, False","91.00, 0.32, False","86.00, 0.34, False","29.00, 0.23, False","60.00, 0.38, False","49.00, 0.34, False","91.00, 0.66, False","81.00, 0.64, False","93.00, 0.72, False","60.00, 0.72, False","101.00, 0.89, False","89.00, 0.94, False","26.00, 0.89, False","99.00, 0.94, False","59.00, 0.93, False","100.00, 0.94, False",None,"92.00, 1.00, None","98.00, 0.89, True","92.00, 0.88, True","88.00, 0.88, True","93.00, 0.88, True","95.00, 0.83, True","62.00, 0.72, True","57.00, 0.71, True","51.00, 0.70, True","93.00, 0.72, True","75.00, 0.69, True","77.00, 0.69, True","95.00, 0.67, True","43.00, 0.53, True","61.00, 0.48, True","59.00, 0.43, True","63.00, 0.44, True","59.00, 0.22, True","48.00, 0.16, True","40.00, 0.03, True","60.00, 0.05, True","16.00, 0.51, True","93.00, 0.06, True","88.00, 0.03, True","91.00, 0.02, True","87.00, 0.01, True","45.00, 0.00, True","43.00, 0.00, True","90.00, 0.01, True","45.00, 0.00, True","46.00, 0.00, True","66.00, 0.00, True","71.00, 0.00, True","68.00, 0.00, True","77.00, 0.00, True","8.00, 0.29, True","81.00, 0.00, True",A,0.523
template_35,"39.00, 0.10, False","45.00, 0.17, False","24.00, 0.10, False","92.00, 0.47, False","85.00, 0.46, False","83.00, 0.45, False","26.00, 0.43, False","42.00, 0.53, False","48.00, 0.62, False","87.00, 0.77, False","50.00, 0.84, False","56.00, 0.93, False","100.00, 0.94, False","59.00, 0.93, False","87.00, 0.94, False","51.00, 0.92, False","92.00, 1.00, True",None,"45.00, 0.84, True","38.00, 0.82, True","58.00, 0.85, True","39.00, 0.82, True","52.00, 0.77, True","87.00, 0.77, True","86.00, 0.76, True","82.00, 0.76, True","53.00, 0.64, True","102.00, 0.73, True","98.00, 0.73, True","56.00, 0.58, True","86.00, 0.65, True","85.00, 0.55, True","84.00, 0.50, True","85.00, 0.50, True","81.00, 0.29, True","79.00, 0.26, True","96.00, 0.13, True","80.00, 0.08, True","12.00, 0.85, True","60.00, 0.02, True","57.00, 0.01, True","41.00, 0.00, True","46.00, 0.00, True","85.00, 0.01, True","82.00, 0.01, True","58.00, 0.00, True","84.00, 0.01, True","83.00, 0.01, True","83.00, 0.00, True","77.00, 0.00, True","90.00, 0.00, True","39.00, 0.00, True","4.00, 0.39, True","54.00, 0.00, True",A,0.523
template_41,"55.00, 0.10, False","55.00, 0.13, False","34.00, 0.08, False","97.00, 0.37, False","90.00, 0.35, False","95.00, 0.36, False","43.00, 0.36, False","53.00, 0.40, False","56.00, 0.47, False","97.00, 0.62, False","64.00, 0.67, False","69.00, 0.74, False","103.00, 0.78, False","65.00, 0.73, False","96.00, 0.78, False","49.00, 0.69, False","98.00, 0.89, False","45.00, 0.84, False",None,"29.00, 1.00, None","73.00, 1.00, None","48.00, 1.00, None","49.00, 1.00, True","103.00, 0.94, True","100.00, 0.94, True","93.00, 0.94, True","52.00, 0.85, True","106.00, 0.89, True","106.00, 0.89, True","67.00, 0.80, True","96.00, 0.83, True","95.00, 0.72, True","93.00, 0.67, True","101.00, 0.68, True","93.00, 0.43, True","89.00, 0.39, True","97.00, 0.19, True","88.00, 0.14, True","12.00, 1.00, False","64.00, 0.04, True","76.00, 0.04, True","72.00, 0.02, True","72.00, 0.01, True","93.00, 0.02, True","95.00, 0.02, True","60.00, 0.00, True","96.00, 0.02, True","93.00, 0.02, True","92.00, 0.00, True","85.00, 0.00, True","95.00, 0.00, True","67.00, 0.00, True","9.00, 1.00, True","69.00, 0.00, True",A,0.517
template_39,"48.00, 0.08, False","48.00, 0.11, False","27.00, 0.06, False","90.00, 0.35, False","85.00, 0.34, False","87.00, 0.34, False","37.00, 0.33, False","43.00, 0.36, False","52.00, 0.45, False","91.00, 0.61, False","62.00, 0.66, False","58.00, 0.72, False","97.00, 0.78, False","62.00, 0.72, False","93.00, 0.77, False","44.00, 0.68, False","92.00, 0.88, False","38.00, 0.82, False","29.00, 1.00, True",None,"62.00, 1.00, None","41.00, 1.00, None","56.00, 1.00, True","93.00, 0.94, True","92.00, 0.94, True","89.00, 0.94, True","51.00, 0.85, True","98.00, 0.89, True","101.00, 0.89, True","66.00, 0.80, True","89.00, 0.82, True","90.00, 0.71, True","90.00, 0.66, True","95.00, 0.67, True","89.00, 0.42, True","83.00, 0.37, True","96.00, 0.19, True","84.00, 0.13, True","11.00, 0.84, True","65.00, 0.04, True","63.00, 0.02, True","62.00, 0.01, True","61.00, 0.01, True","94.00, 0.02, True","92.00, 0.02, True","61.00, 0.01, True","93.00, 0.02, True","91.00, 0.01, True","89.00, 0.00, True","81.00, 0.00, True","93.00, 0.00, True","52.00, 0.00, True","8.00, 0.65, True","60.00, 0.00, True",A,0.517
template_17,"46.00, 0.07, False","40.00, 0.09, False","49.00, 0.14, False","88.00, 0.35, False","90.00, 0.35, False","92.00, 0.36, False","69.00, 0.46, False","41.00, 0.35, False","50.00, 0.44, False","95.00, 0.62, False","61.00, 0.66, False","16.00, 0.51, False","93.00, 0.77, False","62.00, 0.72, False","99.00, 0.78, False","57.00, 0.71, False","88.00, 0.88, False","58.00, 0.85, False","73.00, 1.00, True","62.00, 1.00, True",None,"84.00, 1.00, None","68.00, 1.00, True","96.00, 0.94, True","99.00, 0.94, True","91.00, 0.94, True","67.00, 0.86, True","102.00, 0.89, True","104.00, 0.89, True","71.00, 0.80, True","93.00, 0.83, True","97.00, 0.72, True","90.00, 0.66, True","95.00, 0.67, True","93.00, 0.43, True","92.00, 0.39, True","95.00, 0.19, True","89.00, 0.14, True","12.00, 0.70, True","80.00, 0.07, True","44.00, 0.01, True","48.00, 0.01, True","51.00, 0.00, True","93.00, 0.02, True","90.00, 0.02, True","82.00, 0.01, True","90.00, 0.02, True","92.00, 0.02, True","86.00, 0.00, True","79.00, 0.00, True","92.00, 0.00, True","47.00, 0.00, True","3.00, 0.51, True","61.00, 0.00, True",A,0.517
template_29,"53.00, 0.09, False","58.00, 0.14, False","37.00, 0.09, False","89.00, 0.35, False","83.00, 0.33, False","86.00, 0.34, False","33.00, 0.30, False","51.00, 0.40, False","59.00, 0.48, False","89.00, 0.61, False","62.00, 0.66, False","76.00, 0.75, False","99.00, 0.78, False","62.00, 0.72, False","90.00, 0.77, False","59.00, 0.72, False","93.00, 0.88, False","39.00, 0.82, False","48.00, 1.00, True","41.00, 1.00, True","84.00, 1.00, True",None,"65.00, 1.00, True","88.00, 0.94, True","93.00, 0.94, True","89.00, 0.94, True","55.00, 0.85, True","101.00, 0.89, True","90.00, 0.88, True","60.00, 0.79, True","91.00, 0.83, True","90.00, 0.71, True","92.00, 0.66, True","88.00, 0.66, True","88.00, 0.42, True","83.00, 0.37, True","96.00, 0.19, True","86.00, 0.13, True","13.00, 1.00, False","56.00, 0.03, True","73.00, 0.03, True","67.00, 0.02, True","61.00, 0.01, True","92.00, 0.02, True","89.00, 0.02, True","50.00, 0.00, True","91.00, 0.02, True","88.00, 0.01, True","91.00, 0.00, True","83.00, 0.00, True","88.00, 0.00, True","60.00, 0.00, True","10.00, 1.00, None","56.00, 0.00, True",A,0.517
