"statistic, pvalue, row is better than column",best set: template_2,template_16,template_8,template_4,template_6,template_10,template_18,template_38,template_36,template_30,template_12,template_40,template_28,template_3,template_32,template_34,template_5,template_7,template_9,template_11,template_17,template_31,template_46,template_48,template_37,template_19,template_13,template_35,template_14,template_15,template_0,template_44,template_1,template_29,template_33,template_41,template_39,template_45,template_47,template_49,template_42,template_43,group,accuracy
template_12,"22.00, 0.05, False","21.00, 0.13, False","12.00, 0.09, False","18.00, 0.18, False","18.00, 0.23, False","12.00, 0.28, False","15.00, 0.32, False","20.00, 0.46, False","24.00, 0.68, False","31.00, 0.80, False",None,"17.00, 1.00, True","24.00, 0.89, True","41.00, 0.83, True","25.00, 0.68, True","25.00, 0.59, True","45.00, 0.61, True","45.00, 0.61, True","38.00, 0.39, True","38.00, 0.39, True","37.00, 0.28, True","38.00, 0.28, True","34.00, 0.26, True","31.00, 0.17, True","39.00, 0.17, True","23.00, 0.09, True","32.00, 0.09, True","40.00, 0.13, True","19.00, 0.03, True","37.00, 0.09, True","16.00, 0.02, True","36.00, 0.09, True","39.00, 0.08, True","39.00, 0.08, True","43.00, 0.08, True","32.00, 0.05, True","35.00, 0.02, True","39.00, 0.02, True","42.00, 0.02, True","9.00, 0.23, True","31.00, 0.00, True","40.00, 0.00, True",B,0.6
template_40,"24.00, 0.05, False","24.00, 0.12, False","14.00, 0.08, False","21.00, 0.17, False","23.00, 0.23, False","14.00, 0.24, False","21.00, 0.32, False","11.00, 0.26, False","19.00, 0.54, False","31.00, 0.71, False","17.00, 1.00, False",None,"21.00, 1.00, True","41.00, 0.91, True","20.00, 0.76, True","22.00, 0.67, True","48.00, 0.69, True","48.00, 0.69, True","38.00, 0.45, True","37.00, 0.44, True","38.00, 0.33, True","39.00, 0.34, True","38.00, 0.33, True","37.00, 0.24, True","36.00, 0.19, True","29.00, 0.46, True","33.00, 0.12, True","39.00, 0.15, True","18.00, 0.04, True","40.00, 0.13, True","16.00, 0.03, True","42.00, 0.13, True","41.00, 0.11, True","42.00, 0.11, True","41.00, 0.09, True","32.00, 0.06, True","32.00, 0.02, True","40.00, 0.02, True","40.00, 0.02, True","12.00, 0.70, True","36.00, 0.00, True","40.00, 0.00, True",B,0.597
template_28,"19.00, 0.02, False","22.00, 0.09, False","13.00, 0.05, False","16.00, 0.10, False","18.00, 0.14, False","22.00, 0.27, False","17.00, 0.22, False","16.00, 0.27, False","15.00, 0.41, False","23.00, 0.58, False","24.00, 0.89, False","21.00, 1.00, False",None,"45.00, 1.00, True","18.00, 0.87, True","15.00, 0.73, True","45.00, 0.76, True","46.00, 0.76, True","39.00, 0.52, True","35.00, 0.49, True","42.00, 0.41, True","41.00, 0.40, True","31.00, 0.34, True","28.00, 0.22, True","37.00, 0.24, True","27.00, 0.44, True","37.00, 0.17, True","36.00, 0.16, True","25.00, 0.08, True","39.00, 0.15, True","21.00, 0.06, True","34.00, 0.12, True","42.00, 0.13, True","39.00, 0.12, True","44.00, 0.12, True","34.00, 0.08, True","36.00, 0.03, True","44.00, 0.04, True","47.00, 0.03, True","11.00, 0.84, True","31.00, 0.00, True","45.00, 0.00, True",B,0.594
template_3,"33.00, 0.05, False","33.00, 0.12, False","40.00, 0.18, False","37.00, 0.20, False","41.00, 0.26, False","41.00, 0.35, False","36.00, 0.32, False","38.00, 0.39, False","42.00, 0.53, False","39.00, 0.59, False","41.00, 0.83, False","41.00, 0.91, False","45.00, 1.00, False",None,"41.00, 1.00, True","44.00, 0.92, True","27.00, 0.79, True","25.00, 0.78, True","17.00, 0.43, True","27.00, 0.52, True","7.00, 0.13, True","11.00, 0.20, True","49.00, 0.50, True","48.00, 0.38, True","19.00, 0.15, True","15.00, 0.15, True","24.00, 0.12, True","22.00, 0.11, True","41.00, 0.18, True","31.00, 0.14, True","44.00, 0.20, True","45.00, 0.20, True","27.00, 0.09, True","20.00, 0.06, True","26.00, 0.07, True","24.00, 0.06, True","18.00, 0.01, True","15.00, 0.00, True","22.00, 0.01, True","6.00, 0.33, True","44.00, 0.01, True","30.00, 0.00, True",B,0.59
template_32,"22.00, 0.02, False","23.00, 0.06, False","17.00, 0.04, False","15.00, 0.05, False","19.00, 0.09, False","23.00, 0.18, False","15.00, 0.12, False","16.00, 0.16, False","16.00, 0.27, False","27.00, 0.44, False","25.00, 0.68, False","20.00, 0.76, False","18.00, 0.87, False","41.00, 1.00, False",None,"13.00, 1.00, True","47.00, 0.92, True","45.00, 0.92, True","37.00, 0.65, True","40.00, 0.66, True","40.00, 0.52, True","41.00, 0.53, True","33.00, 0.48, True","30.00, 0.34, True","39.00, 0.34, True","29.00, 0.53, True","38.00, 0.24, True","38.00, 0.24, True","25.00, 0.13, True","43.00, 0.23, True","24.00, 0.12, True","37.00, 0.20, True","44.00, 0.20, True","38.00, 0.17, True","42.00, 0.16, True","35.00, 0.13, True","40.00, 0.06, True","38.00, 0.04, True","40.00, 0.04, True","13.00, 1.00, None","32.00, 0.00, True","42.00, 0.00, True",B,0.587
template_34,"19.00, 0.01, False","21.00, 0.04, False","16.00, 0.03, False","13.00, 0.03, False","13.00, 0.04, False","22.00, 0.14, False","13.00, 0.07, False","16.00, 0.13, False","12.00, 0.16, False","23.00, 0.34, False","25.00, 0.59, False","22.00, 0.67, False","15.00, 0.73, False","44.00, 0.92, False","13.00, 1.00, False",None,"51.00, 1.00, True","50.00, 1.00, True","43.00, 0.75, True","40.00, 0.74, True","44.00, 0.61, True","46.00, 0.61, True","34.00, 0.56, True","29.00, 0.39, True","44.00, 0.42, True","30.00, 0.40, True","41.00, 0.30, True","41.00, 0.30, True","28.00, 0.18, True","42.00, 0.26, True","25.00, 0.16, True","36.00, 0.23, True","44.00, 0.23, True","41.00, 0.22, True","45.00, 0.20, True","38.00, 0.17, True","43.00, 0.08, True","41.00, 0.06, True","43.00, 0.05, True","9.00, 0.52, True","37.00, 0.01, True","45.00, 0.01, True",B,0.584
template_5,"38.00, 0.03, False","37.00, 0.08, False","40.00, 0.10, False","40.00, 0.13, False","43.00, 0.16, False","44.00, 0.23, False","42.00, 0.22, False","44.00, 0.27, False","47.00, 0.38, False","43.00, 0.41, False","45.00, 0.61, False","48.00, 0.69, False","45.00, 0.76, False","27.00, 0.79, False","47.00, 0.92, False","51.00, 1.00, False",None,"10.00, 1.00, None","19.00, 0.76, True","18.00, 0.75, True","25.00, 0.59, True","24.00, 0.58, True","49.00, 0.69, True","48.00, 0.55, True","21.00, 0.32, True","8.00, 0.65, True","15.00, 0.15, True","13.00, 0.13, True","43.00, 0.31, True","17.00, 0.14, True","45.00, 0.32, True","47.00, 0.33, True","19.00, 0.12, True","14.00, 0.08, True","10.00, 0.04, True","15.00, 0.07, True","18.00, 0.02, True","30.00, 0.04, True","28.00, 0.03, True","10.00, 0.83, True","44.00, 0.01, True","30.00, 0.00, True",B,0.581
template_7,"39.00, 0.04, False","37.00, 0.08, False","41.00, 0.11, False","42.00, 0.13, False","43.00, 0.16, False","44.00, 0.23, False","44.00, 0.23, False","43.00, 0.27, False","47.00, 0.38, False","45.00, 0.42, False","45.00, 0.61, False","48.00, 0.69, False","46.00, 0.76, False","25.00, 0.78, False","45.00, 0.92, False","50.00, 1.00, False","10.00, 1.00, True",None,"16.00, 0.74, True","20.00, 0.76, True","24.00, 0.58, True","23.00, 0.58, True","48.00, 0.69, True","47.00, 0.55, True","22.00, 0.33, True","8.00, 0.50, True","18.00, 0.18, True","12.00, 0.12, True","45.00, 0.32, True","21.00, 0.17, True","47.00, 0.33, True","48.00, 0.33, True","22.00, 0.14, True","14.00, 0.08, True","12.00, 0.05, True","17.00, 0.08, True","19.00, 0.02, True","28.00, 0.04, True","24.00, 0.02, True","10.00, 1.00, None","44.00, 0.01, True","28.00, 0.00, True",B,0.581
template_9,"32.00, 0.01, False","31.00, 0.03, False","37.00, 0.05, False","33.00, 0.05, False","38.00, 0.08, False","39.00, 0.12, False","35.00, 0.11, False","33.00, 0.12, False","40.00, 0.21, False","36.00, 0.23, False","38.00, 0.39, False","38.00, 0.45, False","39.00, 0.52, False","17.00, 0.43, False","37.00, 0.65, False","43.00, 0.75, False","19.00, 0.76, False","16.00, 0.74, False",None,"18.00, 1.00, None","19.00, 0.87, True","20.00, 0.88, True","45.00, 0.92, True","45.00, 0.76, True","17.00, 0.52, True","11.00, 0.44, True","16.00, 0.34, True","20.00, 0.38, True","41.00, 0.46, True","21.00, 0.32, True","43.00, 0.47, True","47.00, 0.49, True","19.00, 0.24, True","14.00, 0.19, True","21.00, 0.21, True","18.00, 0.18, True","16.00, 0.04, True","25.00, 0.06, True","27.00, 0.06, True","7.00, 0.80, True","43.00, 0.03, True","29.00, 0.01, True",B,0.571
template_11,"31.00, 0.01, False","32.00, 0.03, False","33.00, 0.04, False","32.00, 0.05, False","33.00, 0.06, False","34.00, 0.10, False","33.00, 0.10, False","32.00, 0.11, False","39.00, 0.21, False","35.00, 0.22, False","38.00, 0.39, False","37.00, 0.44, False","35.00, 0.49, False","27.00, 0.52, False","40.00, 0.66, False","40.00, 0.74, False","18.00, 0.75, False","20.00, 0.76, False","18.00, 1.00, True",None,"26.00, 0.89, True","29.00, 0.90, True","46.00, 0.92, True","46.00, 0.76, True","20.00, 0.55, True","10.00, 0.18, True","8.00, 0.21, True","21.00, 0.39, True","40.00, 0.46, True","16.00, 0.27, True","40.00, 0.46, True","46.00, 0.48, True","15.00, 0.20, True","21.00, 0.26, True","23.00, 0.23, True","16.00, 0.16, True","14.00, 0.03, True","32.00, 0.09, True","34.00, 0.08, True","8.00, 0.29, True","42.00, 0.03, True","33.00, 0.01, True",B,0.571
template_17,"32.00, 0.01, False","30.00, 0.02, False","35.00, 0.03, False","33.00, 0.03, False","36.00, 0.05, False","37.00, 0.08, False","33.00, 0.06, False","34.00, 0.08, False","42.00, 0.16, False","37.00, 0.17, False","37.00, 0.28, False","38.00, 0.33, False","42.00, 0.41, False","7.00, 0.13, False","40.00, 0.52, False","44.00, 0.61, False","25.00, 0.59, False","24.00, 0.58, False","19.00, 0.87, False","26.00, 0.89, False",None,"15.00, 1.00, None","51.00, 1.00, None","49.00, 0.92, True","21.00, 0.77, True","17.00, 0.63, True","27.00, 0.60, True","26.00, 0.60, True","41.00, 0.59, True","34.00, 0.56, True","44.00, 0.61, True","46.00, 0.61, True","29.00, 0.46, True","20.00, 0.38, True","26.00, 0.37, True","25.00, 0.36, True","20.00, 0.10, True","22.00, 0.09, True","29.00, 0.10, True","9.00, 0.66, True","46.00, 0.05, True","34.00, 0.02, True",B,0.565
template_31,"32.00, 0.01, False","32.00, 0.02, False","37.00, 0.03, False","34.00, 0.03, False","39.00, 0.05, False","40.00, 0.09, False","36.00, 0.07, False","35.00, 0.09, False","42.00, 0.16, False","36.00, 0.16, False","38.00, 0.28, False","39.00, 0.34, False","41.00, 0.40, False","11.00, 0.20, False","41.00, 0.53, False","46.00, 0.61, False","24.00, 0.58, False","23.00, 0.58, False","20.00, 0.88, False","29.00, 0.90, False","15.00, 1.00, True",None,"50.00, 1.00, None","50.00, 0.92, True","18.00, 0.75, True","14.00, 0.72, True","28.00, 0.61, True","20.00, 0.55, True","46.00, 0.61, True","35.00, 0.57, True","50.00, 0.63, True","48.00, 0.62, True","32.00, 0.48, True","17.00, 0.35, True","24.00, 0.35, True","24.00, 0.35, True","14.00, 0.06, True","20.00, 0.08, True","28.00, 0.10, True","8.00, 0.81, True","47.00, 0.05, True","31.00, 0.01, True",B,0.565
template_46,"22.00, 0.00, False","24.00, 0.01, False","24.00, 0.01, False","17.00, 0.01, False","22.00, 0.02, False","31.00, 0.06, False","23.00, 0.03, False","30.00, 0.07, False","28.00, 0.10, False","27.00, 0.11, False","34.00, 0.26, False","38.00, 0.33, False","31.00, 0.34, False","49.00, 0.50, False","33.00, 0.48, False","34.00, 0.56, False","49.00, 0.69, False","48.00, 0.69, False","45.00, 0.92, False","46.00, 0.92, False","51.00, 1.00, True","50.00, 1.00, True",None,"9.00, 0.82, True","47.00, 0.84, True","28.00, 0.32, True","45.00, 0.68, True","48.00, 0.69, True","41.00, 0.59, True","47.00, 0.62, True","37.00, 0.58, True","19.00, 0.45, True","49.00, 0.56, True","45.00, 0.54, True","49.00, 0.50, True","46.00, 0.48, True","47.00, 0.25, True","43.00, 0.19, True","44.00, 0.17, True","10.00, 0.18, True","17.00, 0.00, True","46.00, 0.03, True",B,0.565
template_48,"18.00, 0.00, False","22.00, 0.00, False","22.00, 0.00, False","16.00, 0.00, False","18.00, 0.01, False","30.00, 0.03, False","22.00, 0.02, False","26.00, 0.03, False","24.00, 0.05, False","23.00, 0.06, False","31.00, 0.17, False","37.00, 0.24, False","28.00, 0.22, False","48.00, 0.38, False","30.00, 0.34, False","29.00, 0.39, False","48.00, 0.55, False","47.00, 0.55, False","45.00, 0.76, False","46.00, 0.76, False","49.00, 0.92, False","50.00, 0.92, False","9.00, 0.82, False",None,"49.00, 1.00, True","30.00, 0.54, True","48.00, 0.84, True","49.00, 0.84, True","42.00, 0.75, True","50.00, 0.77, True","38.00, 0.74, True","16.00, 0.62, True","51.00, 0.70, True","46.00, 0.68, True","52.00, 0.63, True","45.00, 0.61, True","49.00, 0.34, True","45.00, 0.28, True","45.00, 0.24, True","13.00, 0.58, True","18.00, 0.01, True","45.00, 0.05, True",B,0.558
template_37,"32.00, 0.00, False","31.00, 0.01, False","36.00, 0.01, False","33.00, 0.01, False","35.00, 0.02, False","38.00, 0.04, False","35.00, 0.04, False","33.00, 0.04, False","38.00, 0.08, False","35.00, 0.09, False","39.00, 0.17, False","36.00, 0.19, False","37.00, 0.24, False","19.00, 0.15, False","39.00, 0.34, False","44.00, 0.42, False","21.00, 0.32, False","22.00, 0.33, False","17.00, 0.52, False","20.00, 0.55, False","21.00, 0.77, False","18.00, 0.75, False","47.00, 0.84, False","49.00, 1.00, False",None,"15.00, 1.00, None","24.00, 0.89, True","18.00, 0.87, True","46.00, 0.84, True","30.00, 0.80, True","46.00, 0.84, True","47.00, 0.84, True","28.00, 0.70, True","18.00, 0.64, True","20.00, 0.55, True","19.00, 0.54, True","11.00, 0.11, True","28.00, 0.22, True","28.00, 0.18, True","7.00, 1.00, True","45.00, 0.08, True","31.00, 0.03, True",B,0.555
template_19,"20.00, 0.00, False","21.00, 0.01, False","22.00, 0.03, False","22.00, 0.01, False","25.00, 0.03, False","26.00, 0.05, False","22.00, 0.03, False","25.00, 0.08, False","27.00, 0.14, False","25.00, 0.08, False","23.00, 0.09, False","29.00, 0.46, False","27.00, 0.44, False","15.00, 0.15, False","29.00, 0.53, False","30.00, 0.40, False","8.00, 0.65, False","8.00, 0.50, False","11.00, 0.44, False","10.00, 0.18, False","17.00, 0.63, False","14.00, 0.72, False","28.00, 0.32, False","30.00, 0.54, False","15.00, 1.00, True",None,"14.00, 0.86, False","12.00, 0.70, False","34.00, 1.00, None","13.00, 0.85, True","33.00, 1.00, None","33.00, 0.64, False","18.00, 0.75, True","11.00, 0.84, True","14.00, 0.86, True","13.00, 0.85, True","13.00, 0.30, True","22.00, 0.57, True","21.00, 0.47, True","10.00, 0.83, False","38.00, 0.91, True","25.00, 0.36, True",B,0.549
template_13,"31.00, 0.00, False","29.00, 0.00, False","30.00, 0.01, False","30.00, 0.01, False","34.00, 0.01, False","32.00, 0.02, False","31.00, 0.02, False","30.00, 0.02, False","38.00, 0.05, False","34.00, 0.05, False","32.00, 0.09, False","33.00, 0.12, False","37.00, 0.17, False","24.00, 0.12, False","38.00, 0.24, False","41.00, 0.30, False","15.00, 0.15, False","18.00, 0.18, False","16.00, 0.34, False","8.00, 0.21, False","27.00, 0.60, False","28.00, 0.61, False","45.00, 0.68, False","48.00, 0.84, False","24.00, 0.89, False","14.00, 0.86, True",None,"24.00, 1.00, None","44.00, 1.00, True","20.00, 1.00, True","42.00, 1.00, True","51.00, 1.00, True","17.00, 0.87, True","23.00, 0.89, True","21.00, 0.77, True","14.00, 0.72, True","16.00, 0.27, True","36.00, 0.37, True","34.00, 0.31, True","12.00, 0.85, True","44.00, 0.12, True","32.00, 0.05, True",C,0.548
template_35,"32.00, 0.00, False","31.00, 0.00, False","39.00, 0.01, False","36.00, 0.01, False","38.00, 0.02, False","40.00, 0.03, False","39.00, 0.03, False","36.00, 0.03, False","39.00, 0.05, False","35.00, 0.06, False","40.00, 0.13, False","39.00, 0.15, False","36.00, 0.16, False","22.00, 0.11, False","38.00, 0.24, False","41.00, 0.30, False","13.00, 0.13, False","12.00, 0.12, False","20.00, 0.38, False","21.00, 0.39, False","26.00, 0.60, False","20.00, 0.55, False","48.00, 0.69, False","49.00, 0.84, False","18.00, 0.87, False","12.00, 0.70, True","24.00, 1.00, True",None,"50.00, 1.00, True","31.00, 1.00, True","51.00, 1.00, True","52.00, 1.00, True","32.00, 0.90, True","17.00, 0.87, True","15.00, 0.73, True","20.00, 0.76, True","17.00, 0.28, True","33.00, 0.36, True","33.00, 0.30, True","10.00, 1.00, False","47.00, 0.13, True","37.00, 0.06, True",B,0.548
template_14,"22.00, 0.00, False","19.00, 0.00, False","15.00, 0.00, False","17.00, 0.00, False","19.00, 0.00, False","14.00, 0.00, False","19.00, 0.00, False","15.00, 0.00, False","21.00, 0.01, False","25.00, 0.02, False","19.00, 0.03, False","18.00, 0.04, False","25.00, 0.08, False","41.00, 0.18, False","25.00, 0.13, False","28.00, 0.18, False","43.00, 0.31, False","45.00, 0.32, False","41.00, 0.46, False","40.00, 0.46, False","41.00, 0.59, False","46.00, 0.61, False","41.00, 0.59, False","42.00, 0.75, False","46.00, 0.84, False","34.00, 1.00, True","44.00, 1.00, False","50.00, 1.00, False",None,"44.00, 1.00, None","14.00, 1.00, None","51.00, 1.00, None","48.00, 1.00, True","48.00, 1.00, True","48.00, 0.92, True","41.00, 0.91, True","44.00, 0.54, True","50.00, 0.50, True","52.00, 0.45, True","14.00, 1.00, None","36.00, 0.11, True","47.00, 0.11, True",C,0.545
