model,dataset,enumerator,choices_separator,shuffle_choices,accuracy,template_name,statistic,pvalue
Llama-2-7b-chat-hf,mmlu.business_ethics,numbers,; ,True,,,,
Llama-2-7b-chat-hf,mmlu.clinical_knowledge,numbers,; ,False,,,,
Llama-2-7b-chat-hf,mmlu.college_chemistry,capitals,\n,True,,,,
Llama-2-7b-chat-hf,mmlu.college_mathematics,numbers, or ,True,,,,
Llama-2-7b-chat-hf,mmlu.college_medicine,numbers, | ,True,,,,
Llama-2-7b-chat-hf,mmlu.college_physics,capitals,\n,True,,,,
Llama-2-7b-chat-hf,mmlu.computer_security,numbers,; ,False,,,,
Llama-2-7b-chat-hf,mmlu.conceptual_physics,roman,", ",False,,,,
Llama-2-7b-chat-hf,mmlu.econometrics,numbers, or ,False,,,,
Llama-2-7b-chat-hf,mmlu.formal_logic,capitals,", ",True,,,,
Llama-2-7b-chat-hf,mmlu.high_school_biology,numbers,\s,True,,,,
Llama-2-7b-chat-hf,mmlu.high_school_chemistry,capitals,; ,True,,,,
Llama-2-7b-chat-hf,mmlu.high_school_computer_science,numbers,; ,True,,,,
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,lowercase,\n,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.clinical_knowledge,lowercase,\n,True,,,,
Mistral-7B-Instruct-v0.2,mmlu.college_chemistry,capitals, | ,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.college_mathematics,lowercase, | ,True,,,,
Mistral-7B-Instruct-v0.2,mmlu.college_medicine,lowercase, or ,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.college_physics,roman,\n,True,,,,
Mistral-7B-Instruct-v0.2,mmlu.computer_security,numbers, or ,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.conceptual_physics,capitals, OR ,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.econometrics,numbers,\n,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.formal_logic,lowercase,\s,False,,,,
Mistral-7B-Instruct-v0.2,mmlu.high_school_biology,lowercase, or ,True,,,,
Mistral-7B-Instruct-v0.2,mmlu.high_school_chemistry,lowercase,; ,True,,,,
Mistral-7B-Instruct-v0.2,mmlu.high_school_computer_science,roman,; ,False,,,,
phi-2,mmlu.abstract_algebra,roman,\n,False,,,,
phi-2,mmlu.business_ethics,roman,\n,False,,,,
phi-2,mmlu.clinical_knowledge,capitals,", ",True,,,,
phi-2,mmlu.college_chemistry,numbers,", ",True,,,,
phi-2,mmlu.college_mathematics,numbers, or ,True,,,,
phi-2,mmlu.college_medicine,numbers, or ,True,,,,
phi-2,mmlu.college_physics,numbers, | ,True,,,,
phi-2,mmlu.computer_security,lowercase, or ,True,,,,
phi-2,mmlu.conceptual_physics,roman,\n,True,,,,
phi-2,mmlu.econometrics,capitals, or ,False,,,,
phi-2,mmlu.formal_logic,numbers, OR ,False,,,,
phi-2,mmlu.high_school_biology,capitals, | ,False,,,,
phi-2,mmlu.high_school_chemistry,lowercase,", ",False,,,,
phi-2,mmlu.high_school_computer_science,lowercase,\n,True,,,,
