model,dataset,choices_separator,enumerator,shuffle_choices,accuracy
Mistral-7B-Instruct-v0.2,mmlu.electrical_engineering,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_medicine, or ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.global_facts,\n,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.elementary_mathematics,", ",roman,False,
Mistral-7B-Instruct-v0.2,mmlu.professional_law,", ",capitals,True,
Mistral-7B-Instruct-v0.2,mmlu.formal_logic,\s,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_chemistry,; ,lowercase,True,
OLMo-7B-Instruct,mmlu.us_foreign_policy,\n,capitals,False,
OLMo-7B-Instruct,mmlu.professional_psychology,\n,capitals,False,
OLMo-7B-Instruct,mmlu.human_sexuality,\n,roman,True,
OLMo-7B-Instruct,mmlu.moral_scenarios, or ,numbers,False,
OLMo-7B-Instruct,mmlu.logical_fallacies,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.high_school_us_history, or ,roman,False,
OLMo-7B-Instruct,mmlu.nutrition, | ,capitals,False,
OLMo-7B-Instruct,mmlu.marketing,\n,capitals,False,
OLMo-7B-Instruct,mmlu.prehistory,\n,roman,False,
OLMo-7B-Instruct,mmlu.high_school_world_history,; ,roman,True,
OLMo-7B-Instruct,mmlu.public_relations,\n,capitals,False,
OLMo-7B-Instruct,mmlu.world_religions,\n,capitals,True,
OLMo-7B-Instruct,mmlu.professional_medicine,\n,lowercase,True,
OLMo-7B-Instruct,mmlu.management,", ",roman,True,
OLMo-7B-Instruct,mmlu.high_school_microeconomics,\n,capitals,False,
OLMo-7B-Instruct,mmlu.security_studies,\n,roman,False,
OLMo-7B-Instruct,mmlu.sociology,\n,capitals,False,
OLMo-7B-Instruct,mmlu.high_school_physics,\s,lowercase,False,
OLMo-7B-Instruct,mmlu.miscellaneous,\n,capitals,False,
OLMo-7B-Instruct,mmlu.virology,\n,capitals,True,
OLMo-7B-Instruct,mmlu.human_aging,\n,capitals,False,
OLMo-7B-Instruct,mmlu.philosophy,; ,lowercase,False,
OLMo-7B-Instruct,mmlu.moral_disputes,\n,capitals,True,
OLMo-7B-Instruct,mmlu.professional_law,\n,numbers,False,
OLMo-7B-Instruct,mmlu.high_school_government_and_politics,; ,roman,True,
OLMo-7B-Instruct,mmlu.business_ethics,\n,capitals,True,
OLMo-7B-Instruct,sciq,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.astronomy,\n,roman,True,
OLMo-7B-Instruct,mmlu.professional_accounting,; ,roman,False,
OLMo-7B-Instruct,mmlu.college_biology,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.conceptual_physics,\n,roman,False,
OLMo-7B-Instruct,mmlu.college_physics,\n,numbers,True,
OLMo-7B-Instruct,mmlu.anatomy,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.formal_logic,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.college_computer_science,\s,numbers,True,
OLMo-7B-Instruct,mmlu.global_facts,\n,roman,True,
OLMo-7B-Instruct,ai2_arc.arc_easy,\n,capitals,False,
OLMo-7B-Instruct,mmlu.college_medicine,\n,numbers,True,
OLMo-7B-Instruct,mmlu.elementary_mathematics,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.medical_genetics,\n,capitals,True,
OLMo-7B-Instruct,mmlu.machine_learning,\n,capitals,True,
OLMo-7B-Instruct,mmlu.college_chemistry,", ",lowercase,True,
OLMo-7B-Instruct,mmlu.computer_security,\n,capitals,False,
OLMo-7B-Instruct,mmlu.electrical_engineering,\n,capitals,True,
OLMo-7B-Instruct,mmlu.high_school_biology,\n,numbers,False,
OLMo-7B-Instruct,mmlu.high_school_computer_science,", ",roman,True,
OLMo-7B-Instruct,mmlu.abstract_algebra,; ,capitals,True,
OLMo-7B-Instruct,mmlu.high_school_macroeconomics,\n,lowercase,True,
OLMo-7B-Instruct,mmlu.college_mathematics,\n,lowercase,False,
OLMo-7B-Instruct,race_all,\n,lowercase,False,
OLMo-7B-Instruct,mmlu.high_school_european_history,\n,capitals,False,
gemma-7b-it,mmlu.electrical_engineering, OR ,lowercase,False,
gemma-7b-it,mmlu.econometrics,\n,roman,False,
gemma-7b-it,mmlu.medical_genetics, or ,lowercase,False,
gemma-7b-it,mmlu.security_studies,\n,lowercase,True,
gemma-7b-it,mmlu.formal_logic,\n,lowercase,False,
gemma-7b-it,ai2_arc.arc_easy,", ",lowercase,True,
gemma-7b-it,mmlu.professional_accounting, OR ,lowercase,False,
gemma-7b-it,mmlu.college_mathematics, or ,numbers,True,
gemma-7b-it,mmlu.virology, or ,lowercase,False,
gemma-7b-it,mmlu.high_school_biology,", ",lowercase,False,
gemma-7b-it,mmlu.machine_learning,; ,lowercase,True,
gemma-7b-it,mmlu.college_biology,\n,lowercase,False,
gemma-7b-it,mmlu.college_chemistry, OR ,lowercase,True,
gemma-7b-it,mmlu.elementary_mathematics,\n,numbers,False,
gemma-7b-it,mmlu.marketing,\n,lowercase,True,
gemma-7b-it,mmlu.global_facts, or ,roman,False,
gemma-7b-it,mmlu.high_school_computer_science,\n,lowercase,True,
gemma-7b-it,mmlu.college_computer_science, OR ,numbers,False,
gemma-7b-it,mmlu.clinical_knowledge,\n,lowercase,True,
gemma-7b-it,mmlu.computer_security,\n,lowercase,False,
gemma-7b-it,mmlu.conceptual_physics, OR ,roman,False,
gemma-7b-it,race_all, OR ,lowercase,False,
gemma-7b-it,mmlu.high_school_chemistry,\n,lowercase,False,
gemma-7b-it,mmlu.sociology,\n,lowercase,False,
gemma-7b-it,mmlu.college_physics, OR ,numbers,True,
gemma-7b-it,mmlu.prehistory,\n,lowercase,True,
gemma-7b-it,mmlu.nutrition, OR ,lowercase,False,
gemma-7b-it,mmlu.business_ethics, or ,lowercase,True,
gemma-7b-it,mmlu.philosophy, or ,lowercase,False,
gemma-7b-it,mmlu.world_religions,", ",lowercase,False,
gemma-7b-it,mmlu.professional_law,\n,numbers,True,
gemma-7b-it,mmlu.college_medicine,\n,lowercase,True,
gemma-7b-it,mmlu.miscellaneous,\n,lowercase,False,
gemma-7b-it,mmlu.anatomy,\n,lowercase,False,
gemma-7b-it,mmlu.management,\n,numbers,False,
gemma-7b-it,mmlu.abstract_algebra,", ",numbers,True,
gemma-7b-it,mmlu.public_relations,", ",lowercase,False,
gemma-7b-it,mmlu.us_foreign_policy, OR ,lowercase,False,
gemma-7b-it,mmlu.professional_medicine, OR ,lowercase,False,
gemma-7b-it,mmlu.high_school_european_history, | ,lowercase,True,
gemma-7b-it,mmlu.moral_disputes, | ,lowercase,True,
gemma-7b-it,sciq,\n,lowercase,False,
gemma-7b-it,mmlu.professional_psychology,\n,lowercase,False,
gemma-7b-it,mmlu.astronomy,\n,lowercase,True,
gemma-7b-it,mmlu.moral_scenarios,", ",lowercase,True,
phi-2,mmlu.sociology, OR ,capitals,False,
phi-2,mmlu.professional_medicine,\n,lowercase,False,
phi-2,mmlu.prehistory,; ,lowercase,True,
phi-2,mmlu.world_religions, OR ,roman,False,
phi-2,mmlu.us_foreign_policy,\n,capitals,False,
phi-2,mmlu.public_relations,", ",capitals,False,
phi-2,mmlu.marketing,\n,lowercase,True,
phi-2,mmlu.security_studies, | ,capitals,False,
phi-2,mmlu.college_physics, | ,numbers,True,
phi-2,mmlu.high_school_chemistry,", ",lowercase,False,
phi-2,mmlu.moral_scenarios, | ,roman,False,
phi-2,mmlu.philosophy, or ,numbers,True,
phi-2,mmlu.miscellaneous,\n,lowercase,True,
phi-2,mmlu.conceptual_physics,\n,roman,True,
phi-2,mmlu.astronomy,", ",lowercase,True,
phi-2,mmlu.econometrics, or ,capitals,False,
phi-2,mmlu.computer_security, or ,lowercase,True,
phi-2,mmlu.nutrition, or ,capitals,False,
phi-2,mmlu.professional_psychology,", ",capitals,True,
phi-2,mmlu.high_school_european_history,\n,numbers,True,
phi-2,mmlu.college_biology, or ,numbers,True,
phi-2,mmlu.global_facts,", ",roman,False,
phi-2,mmlu.moral_disputes,", ",roman,False,
phi-2,mmlu.professional_law,\n,numbers,False,
phi-2,mmlu.abstract_algebra,\n,roman,False,
phi-2,mmlu.business_ethics,\n,roman,False,
phi-2,mmlu.clinical_knowledge,", ",capitals,True,
phi-2,mmlu.college_medicine, or ,numbers,True,
phi-2,mmlu.college_computer_science,; ,capitals,False,
phi-2,mmlu.college_mathematics, or ,numbers,True,
phi-2,mmlu.anatomy,\n,roman,False,
phi-2,mmlu.college_chemistry,", ",numbers,True,
phi-2,mmlu.management, or ,numbers,True,
phi-2,mmlu.virology,\n,lowercase,False,
phi-2,mmlu.high_school_biology, | ,capitals,False,
phi-2,ai2_arc.arc_easy,\n,capitals,False,
phi-2,mmlu.professional_accounting, OR ,capitals,True,
phi-2,mmlu.high_school_computer_science,\n,lowercase,True,
phi-2,race_all,\n,lowercase,True,
phi-2,mmlu.formal_logic, OR ,numbers,False,
phi-2,mmlu.electrical_engineering, | ,lowercase,False,
phi-2,sciq, OR ,capitals,True,
phi-2,mmlu.medical_genetics,\n,lowercase,False,
phi-2,mmlu.machine_learning, or ,capitals,False,
phi-2,mmlu.elementary_mathematics, | ,numbers,True,
