model,dataset,choices_separator,enumerator,shuffle_choices,accuracy
Llama-2-13b-hf,mmlu.elementary_mathematics,\n,capitals,False,
Llama-2-13b-hf,mmlu.formal_logic, OR ,lowercase,False,
Llama-2-13b-hf,mmlu.global_facts,", ",roman,False,
Llama-2-13b-hf,mmlu.high_school_biology, | ,capitals,False,
Llama-2-13b-hf,mmlu.high_school_chemistry,\n,capitals,False,
Llama-2-13b-hf,mmlu.high_school_computer_science, | ,roman,False,
Llama-2-13b-hf,mmlu.high_school_european_history,\s,numbers,False,
Llama-2-13b-hf,mmlu.high_school_geography, OR ,capitals,False,
Llama-2-13b-hf,mmlu.high_school_government_and_politics,\n,capitals,True,
Llama-2-13b-hf,mmlu.high_school_macroeconomics,\n,lowercase,False,
Llama-2-13b-hf,mmlu.high_school_mathematics, OR ,capitals,True,
Llama-2-13b-hf,mmlu.high_school_microeconomics, | ,lowercase,False,
Llama-2-13b-hf,mmlu.high_school_physics,; ,numbers,True,
Llama-2-13b-hf,mmlu.high_school_psychology, or ,numbers,False,
Llama-2-13b-hf,mmlu.high_school_statistics,\n,lowercase,False,
Llama-2-13b-hf,mmlu.high_school_us_history,\n,capitals,False,
Llama-2-13b-hf,mmlu.high_school_world_history, OR ,capitals,False,
Llama-2-13b-hf,mmlu.human_aging, | ,capitals,False,
Llama-2-13b-hf,mmlu.human_sexuality, | ,capitals,True,
Llama-2-13b-hf,mmlu.international_law,\n,numbers,False,
Llama-2-13b-hf,mmlu.jurisprudence, | ,capitals,False,
Llama-2-13b-hf,mmlu.logical_fallacies,", ",numbers,False,
Llama-2-13b-hf,mmlu.machine_learning, OR ,lowercase,True,
Llama-2-13b-hf,mmlu.management,; ,lowercase,True,
Llama-2-13b-hf,mmlu.marketing,\n,capitals,True,
Llama-2-13b-hf,mmlu.medical_genetics,\n,numbers,False,
Llama-2-13b-hf,mmlu.miscellaneous,; ,capitals,True,
Llama-2-13b-hf,mmlu.moral_disputes,\n,capitals,False,
Llama-2-13b-hf,mmlu.moral_scenarios,\s,numbers,False,
Llama-2-13b-hf,mmlu.nutrition, | ,capitals,False,
Llama-2-13b-hf,mmlu.philosophy,\n,numbers,False,
Llama-2-13b-hf,mmlu.prehistory,\n,lowercase,True,
Llama-2-13b-hf,mmlu.professional_accounting,\n,capitals,True,
Llama-2-13b-hf,mmlu.professional_law,\s,roman,True,
Llama-2-13b-hf,mmlu.professional_medicine,\n,lowercase,True,
Llama-2-13b-hf,mmlu.professional_psychology, | ,numbers,True,
Llama-2-13b-hf,mmlu.public_relations, OR ,capitals,False,
Llama-2-13b-hf,mmlu.security_studies, | ,lowercase,False,
Llama-2-13b-hf,mmlu.sociology,; ,numbers,False,
Llama-2-13b-hf,mmlu.us_foreign_policy,\n,capitals,False,
Llama-2-13b-hf,mmlu.virology,\n,numbers,True,
Llama-2-13b-hf,mmlu.world_religions, | ,numbers,False,
Llama-2-70b-chat-hf,mmlu.anatomy, | ,capitals,False,
Llama-2-70b-chat-hf,mmlu.medical_genetics,\s,capitals,False,
Llama-2-70b-chat-hf,mmlu.miscellaneous,\s,capitals,False,
Llama-2-70b-chat-hf,mmlu.nutrition,\s,capitals,False,
Llama-2-70b-chat-hf,mmlu.philosophy,\s,numbers,True,
Llama-2-70b-chat-hf,mmlu.prehistory,\s,numbers,True,
Llama-2-70b-chat-hf,mmlu.professional_medicine,\n,capitals,False,
Llama-2-70b-chat-hf,mmlu.professional_psychology,\n,numbers,False,
Llama-2-70b-chat-hf,mmlu.public_relations,; ,capitals,False,
Llama-2-70b-chat-hf,mmlu.security_studies,\n,capitals,False,
Llama-2-7b-chat-hf,ai2_arc.arc_easy,", ",numbers,False,
Llama-2-7b-chat-hf,mmlu.abstract_algebra, | ,roman,True,
Llama-2-7b-chat-hf,mmlu.anatomy,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.astronomy,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.business_ethics,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.clinical_knowledge, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.college_biology,", ",numbers,False,
Llama-2-7b-chat-hf,mmlu.college_chemistry,\n,capitals,True,
Llama-2-7b-chat-hf,mmlu.college_computer_science,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.college_mathematics, or ,numbers,True,
Llama-2-7b-chat-hf,mmlu.college_medicine,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.college_physics,\n,capitals,True,
Llama-2-7b-chat-hf,mmlu.computer_security,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.conceptual_physics, or ,numbers,False,
Llama-2-7b-chat-hf,mmlu.econometrics, OR ,numbers,False,
Llama-2-7b-chat-hf,mmlu.electrical_engineering, or ,roman,False,
Llama-2-7b-chat-hf,mmlu.elementary_mathematics,; ,roman,False,
Llama-2-7b-chat-hf,mmlu.formal_logic,", ",numbers,True,
Llama-2-7b-chat-hf,mmlu.global_facts, OR ,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_biology, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_chemistry,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_computer_science,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_european_history,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_geography,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_government_and_politics,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_macroeconomics,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_mathematics, | ,lowercase,True,
Llama-2-7b-chat-hf,mmlu.high_school_microeconomics, | ,roman,True,
Llama-2-7b-chat-hf,mmlu.high_school_physics, or ,capitals,True,
Llama-2-7b-chat-hf,mmlu.high_school_psychology,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_statistics,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_us_history,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_world_history,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.human_aging,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.human_sexuality, | ,numbers,True,
Llama-2-7b-chat-hf,mmlu.international_law,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.jurisprudence,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.logical_fallacies,", ",numbers,True,
Llama-2-7b-chat-hf,mmlu.machine_learning,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.management,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.marketing, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.medical_genetics,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.miscellaneous,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.moral_disputes,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.moral_scenarios,\n,capitals,False,
Llama-2-7b-chat-hf,mmlu.nutrition,\n,roman,False,
Llama-2-7b-chat-hf,mmlu.philosophy, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.prehistory,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.professional_accounting,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.professional_law,\s,roman,True,
Llama-2-7b-chat-hf,mmlu.professional_medicine,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.professional_psychology,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.public_relations,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.security_studies,; ,roman,True,
Llama-2-7b-chat-hf,mmlu.sociology,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.us_foreign_policy,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.virology,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.world_religions,\n,numbers,True,
Llama-2-7b-chat-hf,race_all,\n,numbers,False,
Llama-2-7b-chat-hf,sciq,", ",numbers,True,
Llama-2-7b-hf,mmlu.abstract_algebra, | ,roman,True,
Llama-2-7b-hf,mmlu.anatomy,\n,numbers,True,
Llama-2-7b-hf,mmlu.astronomy,\n,capitals,True,
Llama-2-7b-hf,mmlu.business_ethics,; ,numbers,False,
Llama-2-7b-hf,mmlu.clinical_knowledge,\n,numbers,False,
Llama-2-7b-hf,mmlu.college_biology, OR ,numbers,True,
Llama-2-7b-hf,mmlu.college_chemistry,\n,numbers,True,
Llama-2-7b-hf,mmlu.college_computer_science, or ,capitals,False,
Llama-2-7b-hf,mmlu.college_mathematics, | ,roman,True,
Llama-2-7b-hf,mmlu.college_medicine,\s,numbers,True,
Llama-2-7b-hf,mmlu.college_physics,\n,numbers,True,
Llama-2-7b-hf,mmlu.computer_security,; ,lowercase,False,
Llama-2-7b-hf,mmlu.conceptual_physics, | ,numbers,False,
Llama-2-7b-hf,mmlu.econometrics,\n,numbers,False,
Llama-2-7b-hf,mmlu.electrical_engineering,; ,numbers,True,
Llama-2-7b-hf,mmlu.elementary_mathematics, | ,roman,True,
Llama-2-7b-hf,mmlu.formal_logic,\n,capitals,False,
Llama-2-7b-hf,mmlu.global_facts, OR ,roman,False,
Llama-2-7b-hf,mmlu.high_school_biology,\n,numbers,False,
Llama-2-7b-hf,mmlu.high_school_chemistry,\n,roman,True,
Llama-2-7b-hf,mmlu.high_school_computer_science,; ,numbers,True,
Llama-2-7b-hf,mmlu.high_school_european_history,\n,capitals,False,
Llama-2-7b-hf,mmlu.high_school_geography, OR ,numbers,True,
Llama-2-7b-hf,mmlu.high_school_government_and_politics, | ,numbers,True,
Llama-2-7b-hf,mmlu.high_school_macroeconomics,\n,numbers,True,
Llama-2-7b-hf,mmlu.high_school_mathematics,; ,capitals,True,
Llama-2-7b-hf,mmlu.high_school_microeconomics,\n,numbers,True,
Llama-2-7b-hf,mmlu.high_school_physics, OR ,roman,True,
Llama-2-7b-hf,mmlu.high_school_psychology,\n,numbers,True,
Llama-2-7b-hf,mmlu.high_school_statistics,\s,roman,True,
Llama-2-7b-hf,mmlu.high_school_us_history, | ,capitals,True,
Llama-2-7b-hf,mmlu.high_school_world_history,\n,capitals,False,
Llama-2-7b-hf,mmlu.human_aging,\n,capitals,False,
Llama-2-7b-hf,mmlu.human_sexuality,; ,lowercase,True,
Llama-2-7b-hf,mmlu.international_law,\n,numbers,False,
Llama-2-7b-hf,mmlu.jurisprudence, | ,lowercase,False,
Llama-2-7b-hf,mmlu.logical_fallacies,\n,capitals,True,
Llama-2-7b-hf,mmlu.machine_learning, | ,lowercase,False,
Llama-2-7b-hf,mmlu.management,; ,numbers,True,
Llama-2-7b-hf,mmlu.marketing, OR ,capitals,False,
Llama-2-7b-hf,mmlu.medical_genetics,\n,numbers,False,
Llama-2-7b-hf,mmlu.miscellaneous,\n,numbers,True,
Llama-2-7b-hf,mmlu.moral_disputes, | ,capitals,False,
Llama-2-7b-hf,mmlu.moral_scenarios,", ",roman,True,
Llama-2-7b-hf,mmlu.nutrition,\n,capitals,False,
Llama-2-7b-hf,mmlu.philosophy,\n,capitals,False,
Llama-2-7b-hf,mmlu.prehistory,\n,numbers,False,
Llama-2-7b-hf,mmlu.professional_accounting,\n,capitals,True,
Llama-2-7b-hf,mmlu.professional_law,\s,capitals,True,
Llama-2-7b-hf,mmlu.professional_medicine,\n,capitals,True,
Llama-2-7b-hf,mmlu.professional_psychology,\n,numbers,False,
Llama-2-7b-hf,mmlu.public_relations,; ,numbers,False,
Llama-2-7b-hf,mmlu.security_studies,; ,capitals,False,
Llama-2-7b-hf,mmlu.sociology,\n,numbers,False,
Llama-2-7b-hf,mmlu.us_foreign_policy,\n,capitals,False,
Llama-2-7b-hf,mmlu.virology,; ,capitals,True,
Llama-2-7b-hf,mmlu.world_religions, | ,capitals,False,
Meta-Llama-3-8B-Instruct,mmlu.abstract_algebra,", ",capitals,False,
Meta-Llama-3-8B-Instruct,mmlu.anatomy, OR ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.astronomy,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.business_ethics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.clinical_knowledge,\n,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.college_biology,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.college_chemistry,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.college_computer_science, | ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.college_mathematics,\n,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.college_medicine,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.college_physics, OR ,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.computer_security,\n,lowercase,True,
Meta-Llama-3-8B-Instruct,mmlu.conceptual_physics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.econometrics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.electrical_engineering, OR ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.elementary_mathematics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.formal_logic,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.global_facts,; ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_biology,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_chemistry, | ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_computer_science,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_european_history,; ,lowercase,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_geography,; ,lowercase,True,
Meta-Llama-3-8B-Instruct,mmlu.high_school_government_and_politics,\n,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.high_school_macroeconomics,\n,lowercase,True,
Meta-Llama-3-8B-Instruct,mmlu.high_school_mathematics,\n,lowercase,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_microeconomics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_physics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_psychology,\n,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.high_school_statistics,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.high_school_us_history,; ,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.high_school_world_history, | ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.human_aging,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.human_sexuality,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.international_law, OR ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.jurisprudence,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.logical_fallacies,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.machine_learning,\n,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.management,; ,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.marketing,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.miscellaneous,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.moral_disputes,\n,lowercase,False,
Meta-Llama-3-8B-Instruct,mmlu.moral_scenarios,\n,lowercase,False,
Meta-Llama-3-8B-Instruct,mmlu.nutrition,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.philosophy, OR ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.prehistory,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.professional_accounting,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.professional_law,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.professional_medicine, | ,roman,True,
Meta-Llama-3-8B-Instruct,mmlu.professional_psychology,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.public_relations,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.security_studies,\n,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.sociology,\n,numbers,True,
Meta-Llama-3-8B-Instruct,mmlu.us_foreign_policy, | ,lowercase,False,
Meta-Llama-3-8B-Instruct,mmlu.virology, OR ,numbers,False,
Meta-Llama-3-8B-Instruct,mmlu.world_religions, OR ,numbers,False,
Mistral-7B-Instruct-v0.2,ai2_arc.arc_easy, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,\s,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.anatomy,; ,roman,True,
Mistral-7B-Instruct-v0.2,mmlu.astronomy,", ",lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.clinical_knowledge,; ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_biology,; ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_chemistry, | ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.college_computer_science,\s,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.college_mathematics, | ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.college_medicine, or ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_physics,\n,roman,True,
Mistral-7B-Instruct-v0.2,mmlu.computer_security, or ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.conceptual_physics,", ",capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.econometrics,\n,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.electrical_engineering,\n,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.elementary_mathematics,\n,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.formal_logic,\s,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.global_facts,\n,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_biology, | ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_chemistry,\n,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_computer_science,; ,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_european_history, OR ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_geography, | ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_government_and_politics, | ,capitals,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_macroeconomics,; ,capitals,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_mathematics,\n,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_microeconomics,\s,capitals,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_physics, | ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_psychology,; ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_statistics,; ,numbers,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_us_history,", ",lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_world_history,\n,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.human_aging,; ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.human_sexuality,", ",lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.international_law,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.jurisprudence,\n,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.logical_fallacies,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.machine_learning,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.management,\n,capitals,True,
Mistral-7B-Instruct-v0.2,mmlu.marketing, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.medical_genetics,; ,roman,True,
Mistral-7B-Instruct-v0.2,mmlu.miscellaneous, | ,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.moral_disputes,; ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.moral_scenarios, | ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.nutrition,; ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.philosophy, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.prehistory,\n,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.professional_accounting,\n,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.professional_law,\s,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.professional_medicine, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.professional_psychology,; ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.public_relations, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.security_studies,; ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.sociology, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.us_foreign_policy, OR ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.virology,", ",lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.world_religions,", ",roman,False,
Mistral-7B-Instruct-v0.2,race_all, OR ,numbers,False,
Mistral-7B-Instruct-v0.2,sciq, | ,roman,False,
Mistral-7B-Instruct-v0.3,mmlu.abstract_algebra, OR ,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.anatomy,\n,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.astronomy,\n,numbers,False,
Mistral-7B-Instruct-v0.3,mmlu.business_ethics,; ,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.clinical_knowledge,\n,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.college_biology, | ,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.college_chemistry,\n,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.college_computer_science,; ,lowercase,False,
Mistral-7B-Instruct-v0.3,mmlu.college_mathematics,\s,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.college_medicine,\n,numbers,False,
Mistral-7B-Instruct-v0.3,mmlu.college_physics,\s,lowercase,True,
Mistral-7B-Instruct-v0.3,mmlu.computer_security, OR ,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.conceptual_physics,\n,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.econometrics, OR ,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.electrical_engineering,\n,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.elementary_mathematics, OR ,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.formal_logic,\s,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.global_facts,\n,capitals,True,
Mistral-7B-Instruct-v0.3,mmlu.high_school_biology,\n,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.high_school_chemistry,\n,capitals,False,
Mistral-7B-Instruct-v0.3,mmlu.high_school_computer_science,\n,numbers,True,
Mistral-7B-Instruct-v0.3,mmlu.high_school_european_history, or ,lowercase,True,
Mistral-7B-Instruct-v0.3,mmlu.high_school_geography,\n,capitals,True,
