"statistic, pvalue, row is better than column",best set: template_7,template_5,template_3,template_32,template_4,template_23,template_6,template_36,template_34,template_8,template_2,template_9,template_35,template_33,template_45,template_30,template_29,template_28,template_31,template_37,template_1,template_0,group,accuracy
template_2,"60.00, 0.38, False","62.00, 0.49, False","57.00, 0.47, False","34.00, 0.42, False","24.00, 0.42, False","23.00, 1.00, False","23.00, 0.58, False","28.00, 0.70, False","41.00, 1.00, False","25.00, 1.00, True",None,"38.00, 1.00, None","69.00, 0.87, True","68.00, 0.62, True","17.00, 0.52, True","23.00, 0.34, True","68.00, 0.51, True","34.00, 0.31, True","60.00, 0.30, True","27.00, 0.52, True","63.00, 0.02, True","36.00, 0.00, True",A,0.564
template_9,"15.00, 0.41, False","18.00, 0.53, False","19.00, 1.00, False","42.00, 0.30, False","42.00, 0.67, False","5.00, 0.14, False","42.00, 0.83, False","35.00, 0.43, False","45.00, 0.76, False","35.00, 1.00, False","38.00, 1.00, True",None,"26.00, 1.00, False","30.00, 1.00, None","13.00, 1.00, False","41.00, 1.00, None","24.00, 0.78, True","48.00, 1.00, False","21.00, 0.66, True","11.00, 0.69, True","28.00, 0.05, True","43.00, 0.41, True",A,0.559
template_35,"31.00, 0.14, False","32.00, 0.21, False","46.00, 0.28, False","59.00, 0.38, False","66.00, 0.45, False","12.00, 0.36, False","65.00, 0.55, False","62.00, 0.60, False","64.00, 0.79, False","70.00, 0.87, False","69.00, 0.87, False","26.00, 1.00, True",None,"18.00, 0.64, True","19.00, 1.00, False","69.00, 0.74, True","34.00, 0.56, True","64.00, 0.61, True","31.00, 0.29, True","14.00, 0.72, True","56.00, 0.02, True","70.00, 0.03, True",A,0.559
template_33,"29.00, 0.05, False","27.00, 0.07, False","40.00, 0.13, False","56.00, 0.21, False","64.00, 0.28, False","17.00, 1.00, True","62.00, 0.35, False","60.00, 0.38, False","62.00, 0.54, False","70.00, 0.62, False","68.00, 0.62, False","30.00, 1.00, True","18.00, 0.64, False",None,"17.00, 0.35, True","70.00, 1.00, True","34.00, 0.90, True","63.00, 0.86, True","34.00, 0.56, True","12.00, 0.36, True","61.00, 0.06, True","70.00, 0.05, True",B,0.552
template_45,"13.00, 1.00, True","12.00, 0.57, False","10.00, 0.83, True","21.00, 0.21, False","14.00, 0.19, False","9.00, 0.23, False","18.00, 0.44, False","18.00, 0.23, False","21.00, 0.56, False","15.00, 0.41, False","17.00, 0.52, False","13.00, 1.00, True","19.00, 1.00, True","17.00, 0.35, False",None,"21.00, 0.56, False","15.00, 0.86, False","22.00, 0.33, False","10.00, 0.83, True","14.00, 1.00, True","16.00, 0.27, True","20.00, 0.55, False",A,0.552
template_30,"59.00, 0.12, False","60.00, 0.17, False","62.00, 0.18, False","29.00, 0.08, False","25.00, 0.08, False","24.00, 1.00, True","22.00, 0.11, False","27.00, 0.18, False","34.00, 0.36, False","31.00, 0.40, False","23.00, 0.34, False","41.00, 1.00, True","69.00, 0.74, False","70.00, 1.00, False","21.00, 0.56, True",None,"72.00, 1.00, True","38.00, 0.91, True","66.00, 0.73, True","28.00, 0.53, True","66.00, 0.08, True","46.00, 0.03, True",A,0.551
template_29,"29.00, 0.03, False","29.00, 0.05, False","37.00, 0.08, False","67.00, 0.19, False","66.00, 0.22, False","14.00, 1.00, False","66.00, 0.28, False","62.00, 0.31, False","68.00, 0.46, False","66.00, 0.50, False","68.00, 0.51, False","24.00, 0.78, False","34.00, 0.56, False","34.00, 0.90, False","15.00, 0.86, True","72.00, 1.00, False",None,"67.00, 1.00, True","32.00, 0.72, True","12.00, 0.22, True","56.00, 0.07, True","66.00, 0.07, True",B,0.549
template_28,"63.00, 0.10, False","60.00, 0.13, False","67.00, 0.15, False","21.00, 0.03, False","28.00, 0.06, False","21.00, 0.66, True","27.00, 0.09, False","26.00, 0.11, False","29.00, 0.23, False","40.00, 0.34, False","34.00, 0.31, False","48.00, 1.00, True","64.00, 0.61, False","63.00, 0.86, False","22.00, 0.33, True","38.00, 0.91, False","67.00, 1.00, False",None,"70.00, 0.87, True","26.00, 0.31, True","67.00, 0.11, True","46.00, 0.04, True",A,0.547
template_31,"27.00, 0.01, False","27.00, 0.02, False","27.00, 0.02, False","66.00, 0.11, False","63.00, 0.12, False","9.00, 0.17, False","63.00, 0.16, False","57.00, 0.16, False","68.00, 0.29, False","65.00, 0.32, False","60.00, 0.30, False","21.00, 0.66, False","31.00, 0.29, False","34.00, 0.56, False","10.00, 0.83, False","66.00, 0.73, False","32.00, 0.72, False","70.00, 0.87, False",None,"13.00, 0.71, False","57.00, 0.14, True","70.00, 0.13, True",B,0.542
template_37,"10.00, 0.33, False","12.00, 0.46, False","13.00, 1.00, True","23.00, 0.09, False","25.00, 0.25, False","3.00, 0.06, False","26.00, 0.51, False","24.00, 0.24, False","29.00, 0.46, False","25.00, 0.43, False","27.00, 0.52, False","11.00, 0.69, False","14.00, 0.72, False","12.00, 0.36, False","14.00, 1.00, False","28.00, 0.53, False","12.00, 0.22, False","26.00, 0.31, False","13.00, 0.71, True",None,"22.00, 0.18, True","28.00, 0.70, False",A,0.529
template_1,"39.00, 0.00, False","39.00, 0.00, False","44.00, 0.00, False","56.00, 0.00, False","60.00, 0.00, False","14.00, 0.04, False","61.00, 0.01, False","54.00, 0.00, False","68.00, 0.02, False","61.00, 0.02, False","63.00, 0.02, False","28.00, 0.05, False","56.00, 0.02, False","61.00, 0.06, False","16.00, 0.27, False","66.00, 0.08, False","56.00, 0.07, False","67.00, 0.11, False","57.00, 0.14, False","22.00, 0.18, False",None,"77.00, 0.94, True",B,0.513
template_0,"60.00, 0.00, False","60.00, 0.00, False","60.00, 0.00, False","41.00, 0.00, False","36.00, 0.00, False","24.00, 0.89, True","34.00, 0.00, False","42.00, 0.00, False","49.00, 0.00, False","39.00, 0.00, False","36.00, 0.00, False","43.00, 0.41, False","70.00, 0.03, False","70.00, 0.05, False","20.00, 0.55, True","46.00, 0.03, False","66.00, 0.07, False","46.00, 0.04, False","70.00, 0.13, False","28.00, 0.70, True","77.00, 0.94, False",None,C,0.51
