"statistic, pvalue, row is better than column",template_55,best set: template_27,template_3,template_15,template_9,template_43,template_25,template_45,template_19,template_53,template_23,template_37,template_31,template_28,template_51,template_34,template_7,template_5,template_13,template_17,template_14,template_32,template_50,template_36,template_41,template_11,template_38,template_16,template_24,template_21,template_26,template_12,template_47,template_54,template_2,template_10,template_18,template_39,template_4,template_40,template_8,template_20,template_29,template_1,template_22,template_0,template_46,template_48,template_44,template_42,template_33,template_6,template_35,template_49,template_30,template_52,group
template_23,"4.00, 0.39, False","3.00, 0.34, False","4.00, 0.55, False","5.00, 0.77, False","3.00, 0.73, False","7.00, 1.00, False","5.00, 1.00, False","7.00, 1.00, False","3.00, 1.00, False","7.00, 1.00, False",None,"5.00, 1.00, None","6.00, 1.00, None","12.00, 1.00, None","7.00, 1.00, None","9.00, 1.00, True","6.00, 1.00, True","7.00, 1.00, True","6.00, 1.00, True","3.00, 1.00, True","7.00, 0.80, True","9.00, 0.82, True","9.00, 0.82, True","10.00, 0.83, True","6.00, 0.79, True","5.00, 0.77, True","10.00, 0.83, True","7.00, 0.80, True","8.00, 0.81, True","3.00, 0.73, True","10.00, 0.83, True","9.00, 0.66, True","5.00, 0.58, True","11.00, 0.69, True","8.00, 0.65, True","9.00, 0.66, True","7.00, 0.63, True","3.00, 0.51, True","8.00, 0.50, True","11.00, 0.56, True","8.00, 0.50, True","5.00, 0.42, True","5.00, 0.42, True","3.00, 0.34, True","7.00, 0.36, True","9.00, 0.40, True","9.00, 0.40, True","8.00, 0.38, True","11.00, 0.44, True","9.00, 0.40, True","6.00, 0.24, True","6.00, 0.17, True","5.00, 0.14, True","3.00, 0.09, True","8.00, 0.21, True","7.00, 0.09, True",A
template_37,"6.00, 0.45, False","4.00, 0.39, False","5.00, 0.58, False","7.00, 0.80, False","5.00, 0.77, False","6.00, 1.00, False","6.00, 1.00, False","6.00, 1.00, False","6.00, 1.00, False","7.00, 1.00, False","5.00, 1.00, True",None,"6.00, 1.00, None","10.00, 1.00, None","6.00, 1.00, None","9.00, 1.00, True","8.00, 1.00, True","8.00, 1.00, True","6.00, 1.00, True","6.00, 1.00, True","6.00, 0.79, True","10.00, 0.83, True","7.00, 0.80, True","9.00, 0.82, True","6.00, 0.79, True","6.00, 0.79, True","9.00, 0.82, True","7.00, 0.80, True","6.00, 0.79, True","6.00, 0.79, True","7.00, 0.80, True","10.00, 0.68, True","4.00, 0.55, True","9.00, 0.66, True","6.00, 0.61, True","9.00, 0.66, True","6.00, 0.61, True","2.00, 0.45, True","8.00, 0.50, True","8.00, 0.50, True","8.00, 0.50, True","6.00, 0.45, True","5.00, 0.42, True","6.00, 0.45, True","6.00, 0.33, True","7.00, 0.36, True","8.00, 0.38, True","7.00, 0.36, True","7.00, 0.36, True","8.00, 0.38, True","6.00, 0.24, True","6.00, 0.17, True","5.00, 0.14, True","2.00, 0.07, True","7.00, 0.19, True","5.00, 0.06, True",A
template_31,"5.00, 0.42, False","4.00, 0.39, False","4.00, 0.55, False","6.00, 0.79, False","5.00, 0.77, False","8.00, 1.00, False","8.00, 1.00, False","5.00, 1.00, False","4.00, 1.00, False","7.00, 1.00, False","6.00, 1.00, True","6.00, 1.00, True",None,"9.00, 1.00, None","8.00, 1.00, None","8.00, 1.00, True","5.00, 1.00, True","5.00, 1.00, True","7.00, 1.00, True","4.00, 1.00, True","7.00, 0.80, True","6.00, 0.79, True","7.00, 0.80, True","7.00, 0.80, True","5.00, 0.77, True","6.00, 0.79, True","8.00, 0.81, True","6.00, 0.79, True","6.00, 0.79, True","4.00, 0.75, True","7.00, 0.80, True","8.00, 0.65, True","6.00, 0.61, True","8.00, 0.65, True","6.00, 0.61, True","7.00, 0.63, True","5.00, 0.58, True","5.00, 0.58, True","7.00, 0.48, True","7.00, 0.48, True","6.00, 0.45, True","5.00, 0.42, True","4.00, 0.39, True","4.00, 0.39, True","5.00, 0.30, True","7.00, 0.36, True","5.00, 0.30, True","5.00, 0.30, True","7.00, 0.36, True","5.00, 0.30, True","7.00, 0.26, True","4.00, 0.12, True","4.00, 0.12, True","3.00, 0.09, True","6.00, 0.17, True","5.00, 0.06, True",A
template_28,"10.00, 0.54, False","7.00, 0.48, False","10.00, 0.68, False","9.00, 0.82, False","10.00, 0.83, False","10.00, 1.00, False","12.00, 1.00, False","12.00, 1.00, False","9.00, 1.00, False","10.00, 1.00, False","12.00, 1.00, True","10.00, 1.00, True","9.00, 1.00, True",None,"12.00, 1.00, None","4.00, 1.00, True","9.00, 1.00, True","10.00, 1.00, True","9.00, 1.00, True","9.00, 1.00, True","5.00, 0.77, True","5.00, 0.77, True","7.00, 0.80, True","8.00, 0.81, True","9.00, 0.82, True","10.00, 0.83, True","6.00, 0.79, True","7.00, 0.80, True","5.00, 0.77, True","9.00, 0.82, True","5.00, 0.77, True","6.00, 0.61, True","8.00, 0.65, True","5.00, 0.58, True","7.00, 0.63, True","5.00, 0.58, True","3.00, 0.51, True","7.00, 0.63, True","4.00, 0.39, True","4.00, 0.39, True","6.00, 0.45, True","4.00, 0.39, True","7.00, 0.48, True","10.00, 0.54, True","6.00, 0.33, True","5.00, 0.30, True","4.00, 0.27, True","4.00, 0.27, True","6.00, 0.33, True","4.00, 0.27, True","8.00, 0.29, True","4.00, 0.12, True","4.00, 0.12, True","6.00, 0.17, True","5.00, 0.14, True","3.00, 0.04, True",A
template_51,"5.00, 0.42, False","7.00, 0.48, False","5.00, 0.58, False","9.00, 0.82, False","5.00, 0.77, False","6.00, 1.00, False","8.00, 1.00, False","4.00, 1.00, False","8.00, 1.00, False","5.00, 1.00, False","7.00, 1.00, True","6.00, 1.00, True","8.00, 1.00, True","12.00, 1.00, True",None,"11.00, 1.00, True","7.00, 1.00, True","7.00, 1.00, True","6.00, 1.00, True","8.00, 1.00, True","9.00, 0.82, True","10.00, 0.83, True","8.00, 0.81, True","9.00, 0.82, True","9.00, 0.82, True","6.00, 0.79, True","10.00, 0.83, True","8.00, 0.81, True","8.00, 0.81, True","6.00, 0.79, True","8.00, 0.81, True","9.00, 0.66, True","3.00, 0.51, True","10.00, 0.68, True","7.00, 0.63, True","10.00, 0.68, True","8.00, 0.65, True","6.00, 0.61, True","8.00, 0.50, True","9.00, 0.52, True","9.00, 0.52, True","7.00, 0.48, True","8.00, 0.50, True","7.00, 0.48, True","8.00, 0.38, True","8.00, 0.38, True","8.00, 0.38, True","7.00, 0.36, True","9.00, 0.40, True","10.00, 0.42, True","7.00, 0.26, True","6.00, 0.17, True","5.00, 0.14, True","2.00, 0.07, True","8.00, 0.21, True","8.00, 0.11, True",A
template_34,"8.00, 0.38, False","4.00, 0.27, False","9.00, 0.52, False","7.00, 0.63, False","9.00, 0.66, False","9.00, 0.82, False","11.00, 0.84, False","11.00, 0.84, False","7.00, 0.80, False","10.00, 0.83, False","9.00, 1.00, False","9.00, 1.00, False","8.00, 1.00, False","4.00, 1.00, False","11.00, 1.00, False",None,"9.00, 1.00, None","11.00, 1.00, None","11.00, 1.00, None","9.00, 1.00, None","6.00, 1.00, True","3.00, 1.00, True","4.00, 1.00, True","6.00, 1.00, True","9.00, 1.00, True","11.00, 1.00, True","3.00, 1.00, True","7.00, 1.00, True","5.00, 1.00, True","8.00, 1.00, True","6.00, 1.00, True","6.00, 0.79, True","8.00, 0.81, True","6.00, 0.79, True","7.00, 0.80, True","6.00, 0.79, True","3.00, 0.73, True","8.00, 0.81, True","4.00, 0.55, True","4.00, 0.55, True","6.00, 0.61, True","5.00, 0.58, True","7.00, 0.63, True","10.00, 0.68, True","5.00, 0.42, True","6.00, 0.45, True","3.00, 0.34, True","3.00, 0.34, True","6.00, 0.45, True","3.00, 0.34, True","8.00, 0.38, True","4.00, 0.18, True","5.00, 0.21, True","6.00, 0.24, True","4.00, 0.18, True","3.00, 0.06, True",A
template_7,"5.00, 0.30, False","6.00, 0.33, False","3.00, 0.34, False","7.00, 0.63, False","2.00, 0.45, False","7.00, 0.80, False","6.00, 0.79, False","4.00, 0.75, False","3.00, 0.73, False","6.00, 0.79, False","6.00, 1.00, False","8.00, 1.00, False","5.00, 1.00, False","9.00, 1.00, False","7.00, 1.00, False","9.00, 1.00, True",None,"2.00, 1.00, None","7.00, 1.00, None","4.00, 1.00, None","8.00, 1.00, True","8.00, 1.00, True","8.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","4.00, 1.00, True","10.00, 1.00, True","4.00, 1.00, True","7.00, 1.00, True","3.00, 1.00, True","7.00, 1.00, True","6.00, 0.79, True","5.00, 0.77, True","9.00, 0.82, True","5.00, 0.77, True","6.00, 0.79, True","6.00, 0.79, True","8.00, 0.81, True","5.00, 0.58, True","9.00, 0.66, True","5.00, 0.58, True","3.00, 0.51, True","8.00, 0.65, True","4.00, 0.55, True","5.00, 0.42, True","6.00, 0.45, True","5.00, 0.42, True","4.00, 0.39, True","8.00, 0.50, True","7.00, 0.48, True","7.00, 0.36, True","3.00, 0.15, True","5.00, 0.21, True","2.00, 0.11, True","7.00, 0.26, True","6.00, 0.12, True",A
template_5,"6.00, 0.33, False","7.00, 0.36, False","4.00, 0.39, False","9.00, 0.66, False","2.00, 0.45, False","7.00, 0.80, False","6.00, 0.79, False","5.00, 0.77, False","5.00, 0.77, False","6.00, 0.79, False","7.00, 1.00, False","8.00, 1.00, False","5.00, 1.00, False","10.00, 1.00, False","7.00, 1.00, False","11.00, 1.00, True","2.00, 1.00, True",None,"7.00, 1.00, None","5.00, 1.00, None","10.00, 1.00, True","9.00, 1.00, True","10.00, 1.00, True","11.00, 1.00, True","8.00, 1.00, True","5.00, 1.00, True","11.00, 1.00, True","6.00, 1.00, True","9.00, 1.00, True","5.00, 1.00, True","8.00, 1.00, True","8.00, 0.81, True","5.00, 0.77, True","11.00, 0.84, True","6.00, 0.79, True","8.00, 0.81, True","8.00, 0.81, True","8.00, 0.81, True","7.00, 0.63, True","10.00, 0.68, True","7.00, 0.63, True","5.00, 0.58, True","8.00, 0.65, True","5.00, 0.58, True","7.00, 0.48, True","7.00, 0.48, True","7.00, 0.48, True","6.00, 0.45, True","9.00, 0.52, True","9.00, 0.52, True","7.00, 0.36, True","5.00, 0.21, True","6.00, 0.24, True","2.00, 0.11, True","9.00, 0.31, True","8.00, 0.15, True",A
template_13,"3.00, 0.23, False","3.00, 0.23, False","4.00, 0.39, False","6.00, 0.61, False","3.00, 0.51, False","6.00, 0.79, False","4.00, 0.75, False","6.00, 0.79, False","6.00, 0.79, False","4.00, 0.75, False","6.00, 1.00, False","6.00, 1.00, False","7.00, 1.00, False","9.00, 1.00, False","6.00, 1.00, False","11.00, 1.00, True","7.00, 1.00, True","7.00, 1.00, True",None,"6.00, 1.00, None","10.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","12.00, 1.00, True","6.00, 1.00, True","2.00, 1.00, True","12.00, 1.00, True","7.00, 1.00, True","8.00, 1.00, True","6.00, 1.00, True","4.00, 1.00, True","6.00, 0.79, True","5.00, 0.77, True","9.00, 0.82, True","7.00, 0.80, True","5.00, 0.77, True","7.00, 0.80, True","4.00, 0.75, True","7.00, 0.63, True","8.00, 0.65, True","7.00, 0.63, True","5.00, 0.58, True","5.00, 0.58, True","5.00, 0.58, True","8.00, 0.50, True","6.00, 0.45, True","7.00, 0.48, True","6.00, 0.45, True","9.00, 0.52, True","10.00, 0.54, True","6.00, 0.33, True","6.00, 0.24, True","4.00, 0.18, True","3.00, 0.15, True","7.00, 0.26, True","7.00, 0.13, True",A
template_17,"5.00, 0.30, False","4.00, 0.27, False","0.00, 0.12, False","6.00, 0.61, False","2.00, 0.45, False","7.00, 0.80, False","6.00, 0.79, False","5.00, 0.77, False","3.00, 0.73, False","5.00, 0.77, False","3.00, 1.00, False","6.00, 1.00, False","4.00, 1.00, False","9.00, 1.00, False","8.00, 1.00, False","9.00, 1.00, True","4.00, 1.00, True","5.00, 1.00, True","6.00, 1.00, True",None,"8.00, 1.00, True","9.00, 1.00, True","9.00, 1.00, True","11.00, 1.00, True","7.00, 1.00, True","4.00, 1.00, True","10.00, 1.00, True","5.00, 1.00, True","8.00, 1.00, True","3.00, 1.00, True","8.00, 1.00, True","7.00, 0.80, True","5.00, 0.77, True","9.00, 0.82, True","6.00, 0.79, True","6.00, 0.79, True","5.00, 0.77, True","4.00, 0.75, True","5.00, 0.58, True","10.00, 0.68, True","5.00, 0.58, True","2.00, 0.45, True","5.00, 0.58, True","3.00, 0.51, True","6.00, 0.45, True","6.00, 0.45, True","6.00, 0.45, True","5.00, 0.42, True","8.00, 0.50, True","8.00, 0.50, True","5.00, 0.30, True","3.00, 0.15, True","5.00, 0.21, True","2.00, 0.11, True","7.00, 0.26, True","5.00, 0.10, True",A
template_14,"6.00, 0.24, False","6.00, 0.24, False","8.00, 0.38, False","6.00, 0.45, False","8.00, 0.50, False","6.00, 0.61, False","9.00, 0.66, False","9.00, 0.66, False","5.00, 0.58, False","9.00, 0.66, False","7.00, 0.80, False","6.00, 0.79, False","7.00, 0.80, False","5.00, 0.77, False","9.00, 0.82, False","6.00, 1.00, False","8.00, 1.00, False","10.00, 1.00, False","10.00, 1.00, False","8.00, 1.00, False",None,"9.00, 1.00, None","8.00, 1.00, None","9.00, 1.00, None","10.00, 1.00, None","10.00, 1.00, None","7.00, 1.00, None","7.00, 1.00, None","7.00, 1.00, None","7.00, 1.00, None","8.00, 1.00, None","8.00, 1.00, True","7.00, 1.00, True","8.00, 1.00, True","9.00, 1.00, True","10.00, 1.00, True","5.00, 1.00, True","6.00, 1.00, True","5.00, 0.77, True","7.00, 0.80, True","7.00, 0.80, True","5.00, 0.77, True","7.00, 0.80, True","7.00, 0.80, True","5.00, 0.58, True","5.00, 0.58, True","6.00, 0.61, True","6.00, 0.61, True","8.00, 0.65, True","3.00, 0.51, True","8.00, 0.50, True","4.00, 0.27, True","6.00, 0.33, True","5.00, 0.30, True","8.00, 0.38, True","4.00, 0.12, True",A
