"statistic, pvalue, row is better than column",best set: template_16,template_30,template_2,template_4,template_6,template_12,template_10,template_24,template_3,template_38,template_44,template_50,template_8,template_46,template_17,template_5,template_47,template_13,template_7,template_26,template_31,template_49,template_9,template_48,template_11,template_39,template_55,template_25,template_41,template_36,template_32,template_45,template_1,template_0,template_22,template_27,template_33,template_18,template_19,template_37,template_42,template_40,template_43,template_35,template_21,template_34,template_29,template_23,template_28,template_14,template_20,template_15,group,accuracy
template_44,"31.00, 0.02, False","29.00, 0.12, False","35.00, 0.16, False","37.00, 0.28, False","39.00, 0.45, False","45.00, 0.54, False","46.00, 0.68, False","51.00, 0.77, False","67.00, 0.86, False","47.00, 1.00, False",None,"41.00, 0.91, True","40.00, 0.83, True","45.00, 0.84, True","65.00, 0.86, True","60.00, 0.66, True","69.00, 0.62, True","59.00, 0.53, True","66.00, 0.55, True","48.00, 0.25, True","58.00, 0.29, True","67.00, 0.32, True","67.00, 0.29, True","40.00, 0.18, True","59.00, 0.22, True","63.00, 0.21, True","62.00, 0.20, True","60.00, 0.08, True","63.00, 0.06, True","48.00, 0.01, True","48.00, 0.01, True","47.00, 0.01, True","60.00, 0.01, True","50.00, 0.00, True","47.00, 0.00, True","58.00, 0.01, True","75.00, 0.01, True","52.00, 0.00, True","61.00, 0.00, True","69.00, 0.00, True","49.00, 0.00, True","40.00, 0.00, True","63.00, 0.00, True","66.00, 0.00, True","62.00, 0.00, True","46.00, 0.00, True","60.00, 0.00, True","60.00, 0.00, True","40.00, 0.00, True","50.00, 0.00, True","45.00, 0.00, True","51.00, 0.00, True",B,0.75
template_50,"36.00, 0.02, False","37.00, 0.11, False","38.00, 0.12, False","36.00, 0.19, False","39.00, 0.34, False","40.00, 0.40, False","40.00, 0.52, False","39.00, 0.59, False","74.00, 0.75, False","47.00, 0.84, False","41.00, 0.91, False",None,"39.00, 1.00, True","39.00, 1.00, True","68.00, 1.00, True","70.00, 0.80, True","68.00, 0.74, True","69.00, 0.68, True","72.00, 0.68, True","45.00, 0.32, True","67.00, 0.41, True","70.00, 0.42, True","72.00, 0.38, True","36.00, 0.23, True","68.00, 0.33, True","71.00, 0.30, True","61.00, 0.26, True","64.00, 0.12, True","69.00, 0.10, True","48.00, 0.01, True","50.00, 0.01, True","62.00, 0.02, True","69.00, 0.02, True","48.00, 0.01, True","42.00, 0.00, True","61.00, 0.01, True","74.00, 0.01, True","50.00, 0.00, True","63.00, 0.01, True","71.00, 0.01, True","39.00, 0.00, True","42.00, 0.00, True","64.00, 0.00, True","74.00, 0.00, True","61.00, 0.00, True","50.00, 0.00, True","70.00, 0.00, True","59.00, 0.00, True","43.00, 0.00, True","45.00, 0.00, True","44.00, 0.00, True","52.00, 0.00, True",B,0.747
template_8,"25.00, 0.01, False","35.00, 0.09, False","26.00, 0.05, False","23.00, 0.09, False","23.00, 0.18, False","27.00, 0.26, False","25.00, 0.36, False","30.00, 0.46, False","71.00, 0.68, False","38.00, 0.74, False","40.00, 0.83, False","39.00, 1.00, False",None,"49.00, 1.00, None","67.00, 1.00, None","60.00, 0.86, True","68.00, 0.80, True","59.00, 0.72, True","66.00, 0.73, True","41.00, 0.35, True","63.00, 0.44, True","71.00, 0.47, True","65.00, 0.40, True","45.00, 0.32, True","58.00, 0.33, True","64.00, 0.31, True","59.00, 0.29, True","55.00, 0.11, True","66.00, 0.11, True","42.00, 0.01, True","48.00, 0.01, True","59.00, 0.03, True","61.00, 0.02, True","36.00, 0.00, True","29.00, 0.00, True","53.00, 0.01, True","69.00, 0.01, True","37.00, 0.00, True","56.00, 0.00, True","62.00, 0.00, True","42.00, 0.00, True","38.00, 0.00, True","59.00, 0.00, True","71.00, 0.00, True","60.00, 0.00, True","47.00, 0.00, True","60.00, 0.00, True","53.00, 0.00, True","38.00, 0.00, True","35.00, 0.00, True","33.00, 0.00, True","46.00, 0.00, True",B,0.746
template_46,"43.00, 0.02, False","40.00, 0.10, False","45.00, 0.12, False","37.00, 0.17, False","39.00, 0.29, False","47.00, 0.38, False","49.00, 0.50, False","51.00, 0.57, False","74.00, 0.69, False","44.00, 0.75, False","45.00, 0.84, False","39.00, 1.00, False","49.00, 1.00, True",None,"68.00, 1.00, None","67.00, 0.86, True","65.00, 0.80, True","69.00, 0.74, True","68.00, 0.74, True","46.00, 0.37, True","67.00, 0.45, True","65.00, 0.45, True","70.00, 0.42, True","28.00, 0.22, True","68.00, 0.37, True","66.00, 0.32, True","59.00, 0.29, True","60.00, 0.13, True","65.00, 0.10, True","49.00, 0.02, True","45.00, 0.01, True","64.00, 0.03, True","66.00, 0.03, True","53.00, 0.01, True","43.00, 0.01, True","54.00, 0.01, True","73.00, 0.02, True","37.00, 0.00, True","55.00, 0.00, True","71.00, 0.01, True","38.00, 0.00, True","39.00, 0.00, True","65.00, 0.00, True","68.00, 0.00, True","56.00, 0.00, True","45.00, 0.00, True","61.00, 0.00, True","60.00, 0.00, True","42.00, 0.00, True","46.00, 0.00, True","38.00, 0.00, True","50.00, 0.00, True",B,0.746
template_17,"45.00, 0.02, False","57.00, 0.16, False","53.00, 0.15, False","59.00, 0.26, False","63.00, 0.39, False","64.00, 0.44, False","59.00, 0.53, False","63.00, 0.60, False","21.00, 0.47, False","69.00, 0.80, False","65.00, 0.86, False","68.00, 1.00, False","67.00, 1.00, True","68.00, 1.00, True",None,"41.00, 0.83, True","52.00, 0.77, True","43.00, 0.68, True","37.00, 0.65, True","72.00, 0.47, True","34.00, 0.31, True","49.00, 0.39, True","40.00, 0.29, True","67.00, 0.41, True","39.00, 0.25, True","48.00, 0.25, True","51.00, 0.26, True","37.00, 0.06, True","52.00, 0.07, True","66.00, 0.04, True","68.00, 0.03, True","33.00, 0.01, True","49.00, 0.01, True","67.00, 0.02, True","69.00, 0.02, True","42.00, 0.00, True","56.00, 0.01, True","70.00, 0.01, True","38.00, 0.00, True","43.00, 0.00, True","68.00, 0.01, True","60.00, 0.00, True","57.00, 0.00, True","51.00, 0.00, True","38.00, 0.00, True","71.00, 0.00, True","55.00, 0.00, True","29.00, 0.00, True","62.00, 0.00, True","66.00, 0.00, True","68.00, 0.00, True","48.00, 0.00, True",B,0.746
template_5,"49.00, 0.02, False","57.00, 0.10, False","55.00, 0.10, False","51.00, 0.14, False","55.00, 0.24, False","60.00, 0.30, False","56.00, 0.37, False","61.00, 0.43, False","41.00, 0.40, False","68.00, 0.62, False","60.00, 0.66, False","70.00, 0.80, False","60.00, 0.86, False","67.00, 0.86, False","41.00, 0.83, False",None,"47.00, 1.00, True","31.00, 0.90, True","26.00, 0.89, True","72.00, 0.63, True","42.00, 0.53, True","49.00, 0.56, True","34.00, 0.42, True","72.00, 0.57, True","30.00, 0.34, True","45.00, 0.37, True","43.00, 0.36, True","35.00, 0.11, True","48.00, 0.11, True","67.00, 0.07, True","63.00, 0.05, True","43.00, 0.02, True","37.00, 0.01, True","64.00, 0.03, True","69.00, 0.04, True","34.00, 0.01, True","50.00, 0.01, True","65.00, 0.02, True","34.00, 0.00, True","46.00, 0.00, True","68.00, 0.01, True","63.00, 0.01, True","49.00, 0.00, True","49.00, 0.00, True","40.00, 0.00, True","64.00, 0.00, True","48.00, 0.00, True","35.00, 0.00, True","57.00, 0.00, True","60.00, 0.00, True","68.00, 0.00, True","36.00, 0.00, True",B,0.742
template_47,"55.00, 0.02, False","67.00, 0.11, False","66.00, 0.11, False","64.00, 0.16, False","66.00, 0.25, False","70.00, 0.29, False","71.00, 0.38, False","67.00, 0.41, False","54.00, 0.41, False","76.00, 0.58, False","69.00, 0.62, False","68.00, 0.74, False","68.00, 0.80, False","65.00, 0.80, False","52.00, 0.77, False","47.00, 1.00, False",None,"58.00, 1.00, True","55.00, 1.00, True","77.00, 0.69, True","58.00, 0.65, True","29.00, 0.53, True","54.00, 0.58, True","69.00, 0.62, True","60.00, 0.54, True","57.00, 0.47, True","42.00, 0.41, True","57.00, 0.22, True","64.00, 0.18, True","74.00, 0.09, True","73.00, 0.08, True","45.00, 0.03, True","60.00, 0.05, True","81.00, 0.06, True","73.00, 0.05, True","48.00, 0.02, True","56.00, 0.02, True","72.00, 0.03, True","49.00, 0.01, True","50.00, 0.01, True","71.00, 0.02, True","76.00, 0.02, True","47.00, 0.00, True","57.00, 0.00, True","45.00, 0.00, True","70.00, 0.00, True","55.00, 0.00, True","43.00, 0.00, True","65.00, 0.00, True","75.00, 0.00, True","66.00, 0.00, True","52.00, 0.00, True",B,0.741
template_13,"49.00, 0.01, False","54.00, 0.07, False","53.00, 0.06, False","55.00, 0.11, False","55.00, 0.18, False","57.00, 0.22, False","51.00, 0.26, False","63.00, 0.35, False","39.00, 0.29, False","66.00, 0.50, False","59.00, 0.53, False","69.00, 0.68, False","59.00, 0.72, False","69.00, 0.74, False","43.00, 0.68, False","31.00, 0.90, False","58.00, 1.00, False",None,"37.00, 1.00, None","70.00, 0.74, True","47.00, 0.69, True","58.00, 0.72, True","37.00, 0.58, True","74.00, 0.69, True","25.00, 0.43, True","43.00, 0.47, True","42.00, 0.47, True","27.00, 0.11, True","48.00, 0.16, True","68.00, 0.09, True","66.00, 0.08, True","45.00, 0.04, True","35.00, 0.02, True","66.00, 0.05, True","69.00, 0.05, True","25.00, 0.00, True","63.00, 0.03, True","70.00, 0.03, True","40.00, 0.01, True","45.00, 0.00, True","71.00, 0.02, True","61.00, 0.01, True","54.00, 0.00, True","58.00, 0.00, True","49.00, 0.00, True","65.00, 0.00, True","52.00, 0.00, True","33.00, 0.00, True","56.00, 0.00, True","68.00, 0.00, True","67.00, 0.00, True","34.00, 0.00, True",B,0.739
template_7,"50.00, 0.01, False","63.00, 0.08, False","58.00, 0.07, False","56.00, 0.12, False","56.00, 0.18, False","64.00, 0.24, False","63.00, 0.31, False","63.00, 0.35, False","31.00, 0.24, False","66.00, 0.50, False","66.00, 0.55, False","72.00, 0.68, False","66.00, 0.73, False","68.00, 0.74, False","37.00, 0.65, False","26.00, 0.89, False","55.00, 1.00, False","37.00, 1.00, True",None,"74.00, 0.75, True","47.00, 0.69, True","50.00, 0.70, True","33.00, 0.56, True","74.00, 0.69, True","37.00, 0.51, True","47.00, 0.49, True","51.00, 0.50, True","38.00, 0.17, True","50.00, 0.16, True","68.00, 0.09, True","64.00, 0.07, True","46.00, 0.04, True","43.00, 0.03, True","72.00, 0.05, True","68.00, 0.05, True","37.00, 0.01, True","51.00, 0.02, True","69.00, 0.03, True","37.00, 0.00, True","40.00, 0.00, True","76.00, 0.02, True","67.00, 0.01, True","54.00, 0.00, True","47.00, 0.00, True","35.00, 0.00, True","67.00, 0.00, True","48.00, 0.00, True","30.00, 0.00, True","61.00, 0.00, True","68.00, 0.00, True","69.00, 0.00, True","41.00, 0.00, True",B,0.739
template_26,"34.00, 0.00, False","40.00, 0.01, False","44.00, 0.01, False","36.00, 0.02, False","37.00, 0.04, False","26.00, 0.02, False","37.00, 0.08, False","26.00, 0.05, False","75.00, 0.24, False","45.00, 0.20, False","48.00, 0.25, False","45.00, 0.32, False","41.00, 0.35, False","46.00, 0.37, False","72.00, 0.47, False","72.00, 0.63, False","77.00, 0.69, False","70.00, 0.74, False","74.00, 0.75, False",None,"78.00, 1.00, None","84.00, 1.00, None","80.00, 1.00, True","56.00, 1.00, True","73.00, 0.93, True","78.00, 0.87, True","73.00, 0.87, True","64.00, 0.49, True","77.00, 0.44, True","57.00, 0.16, True","59.00, 0.14, True","72.00, 0.18, True","78.00, 0.17, True","59.00, 0.09, True","39.00, 0.04, True","55.00, 0.08, True","85.00, 0.11, True","33.00, 0.01, True","60.00, 0.05, True","83.00, 0.06, True","63.00, 0.04, True","51.00, 0.02, True","75.00, 0.03, True","80.00, 0.02, True","61.00, 0.01, True","59.00, 0.00, True","77.00, 0.01, True","63.00, 0.00, True","51.00, 0.00, True","49.00, 0.00, True","36.00, 0.00, True","57.00, 0.00, True",C,0.733
template_31,"42.00, 0.00, False","47.00, 0.02, False","50.00, 0.02, False","56.00, 0.05, False","58.00, 0.09, False","61.00, 0.11, False","56.00, 0.14, False","59.00, 0.17, False","30.00, 0.08, False","64.00, 0.28, False","58.00, 0.29, False","67.00, 0.41, False","63.00, 0.44, False","67.00, 0.45, False","34.00, 0.31, False","42.00, 0.53, False","58.00, 0.65, False","47.00, 0.69, False","47.00, 0.69, False","78.00, 1.00, True",None,"58.00, 1.00, None","50.00, 1.00, True","79.00, 1.00, True","49.00, 0.92, True","51.00, 0.85, True","59.00, 0.86, True","47.00, 0.43, True","58.00, 0.37, True","72.00, 0.21, True","72.00, 0.18, True","29.00, 0.05, True","62.00, 0.13, True","74.00, 0.12, True","75.00, 0.13, True","47.00, 0.06, True","63.00, 0.07, True","73.00, 0.08, True","48.00, 0.03, True","50.00, 0.02, True","78.00, 0.05, True","65.00, 0.03, True","60.00, 0.01, True","53.00, 0.01, True","46.00, 0.00, True","74.00, 0.01, True","46.00, 0.00, True","43.00, 0.00, True","66.00, 0.00, True","72.00, 0.00, True","72.00, 0.00, True","58.00, 0.00, True",B,0.733
template_49,"55.00, 0.00, False","67.00, 0.04, False","65.00, 0.04, False","65.00, 0.06, False","68.00, 0.11, False","73.00, 0.14, False","71.00, 0.18, False","66.00, 0.19, False","47.00, 0.15, False","76.00, 0.31, False","67.00, 0.32, False","70.00, 0.42, False","71.00, 0.47, False","65.00, 0.45, False","49.00, 0.39, False","49.00, 0.56, False","29.00, 0.53, False","58.00, 0.72, False","50.00, 0.70, False","84.00, 1.00, True","58.00, 1.00, True",None,"57.00, 1.00, True","75.00, 1.00, True","62.00, 0.93, True","58.00, 0.85, True","43.00, 0.83, True","57.00, 0.47, True","59.00, 0.38, True","81.00, 0.23, True","78.00, 0.20, True","44.00, 0.10, True","64.00, 0.14, True","91.00, 0.16, True","79.00, 0.13, True","50.00, 0.07, True","61.00, 0.07, True","76.00, 0.08, True","49.00, 0.03, True","52.00, 0.02, True","78.00, 0.05, True","77.00, 0.05, True","53.00, 0.01, True","56.00, 0.01, True","47.00, 0.00, True","84.00, 0.01, True","55.00, 0.00, True","43.00, 0.00, True","76.00, 0.00, True","83.00, 0.00, True","73.00, 0.00, True","57.00, 0.00, True",B,0.733
template_9,"51.00, 0.00, False","62.00, 0.03, False","56.00, 0.02, False","61.00, 0.05, False","61.00, 0.08, False","60.00, 0.09, False","54.00, 0.11, False","62.00, 0.15, False","31.00, 0.07, False","68.00, 0.25, False","67.00, 0.29, False","72.00, 0.38, False","65.00, 0.40, False","70.00, 0.42, False","40.00, 0.29, False","34.00, 0.42, False","54.00, 0.58, False","37.00, 0.58, False","33.00, 0.56, False","80.00, 1.00, False","50.00, 1.00, False","57.00, 1.00, False",None,"81.00, 1.00, None","32.00, 1.00, True","52.00, 0.92, True","53.00, 0.92, True","35.00, 0.43, True","62.00, 0.44, True","70.00, 0.23, True","74.00, 0.21, True","49.00, 0.14, True","47.00, 0.11, True","75.00, 0.14, True","77.00, 0.15, True","39.00, 0.05, True","64.00, 0.09, True","80.00, 0.10, True","44.00, 0.03, True","46.00, 0.02, True","74.00, 0.06, True","72.00, 0.05, True","57.00, 0.02, True","60.00, 0.01, True","48.00, 0.00, True","81.00, 0.02, True","58.00, 0.00, True","23.00, 0.00, True","70.00, 0.00, True","75.00, 0.00, True","78.00, 0.00, True","47.00, 0.00, True",B,0.732
