template_name,enumerator,choices_separator,shuffle_choices
template_170,roman,; ,False
template_171,roman,; ,False
template_172,roman,; ,False
template_173,roman,; ,False
template_174,roman,; ,False
template_175,roman, | ,False
template_176,roman, | ,False
template_177,roman, | ,False
template_178,roman, | ,False
template_179,roman, | ,False
template_180,roman, | ,False
template_181,roman, | ,False
template_182,roman, OR ,False
template_183,roman, OR ,False
template_184,roman, OR ,False
template_185,roman, OR ,False
template_186,roman, OR ,False
template_187,roman, OR ,False
template_188,roman, OR ,False
template_189,roman, or ,False
template_190,roman, or ,False
template_191,roman, or ,False
template_192,roman, or ,False
template_193,roman, or ,False
template_194,roman, or ,False
template_195,roman, or ,False
template_196,keyboard,\s,False
template_197,keyboard,\s,False
template_198,keyboard,\s,False
template_199,keyboard,\s,False
template_200,keyboard,\s,False
template_201,keyboard,\s,False
template_202,keyboard,\s,False
template_203,keyboard,\n,False
template_204,keyboard,\n,False
template_205,keyboard,\n,False
template_206,keyboard,\n,False
template_207,keyboard,\n,False
template_208,keyboard,\n,False
template_209,keyboard,\n,False
template_210,keyboard,", ",False
template_211,keyboard,", ",False
template_212,keyboard,", ",False
template_213,keyboard,", ",False
template_214,keyboard,", ",False
template_215,keyboard,", ",False
template_216,keyboard,", ",False
template_217,keyboard,; ,False
template_218,keyboard,; ,False
template_219,keyboard,; ,False
template_220,keyboard,; ,False
template_221,keyboard,; ,False
template_222,keyboard,; ,False
template_223,keyboard,; ,False
template_224,keyboard, | ,False
template_225,keyboard, | ,False
template_226,keyboard, | ,False
template_227,keyboard, | ,False
template_228,keyboard, | ,False
template_229,keyboard, | ,False
template_230,keyboard, | ,False
template_231,keyboard, OR ,False
template_232,keyboard, OR ,False
template_233,keyboard, OR ,False
template_234,keyboard, OR ,False
template_235,keyboard, OR ,False
template_236,keyboard, OR ,False
template_237,keyboard, OR ,False
template_238,keyboard, or ,False
template_239,keyboard, or ,False
template_240,keyboard, or ,False
template_241,keyboard, or ,False
template_242,keyboard, or ,False
template_243,keyboard, or ,False
template_244,keyboard, or ,False
template_245,greek,\s,False
template_246,greek,\s,False
template_247,greek,\s,False
template_248,greek,\s,False
template_249,greek,\s,False
template_250,greek,\s,False
template_251,greek,\s,False
template_252,greek,\n,False
template_253,greek,\n,False
template_254,greek,\n,False
template_255,greek,\n,False
template_256,greek,\n,False
template_257,greek,\n,False
template_258,greek,\n,False
template_259,greek,", ",False
template_260,greek,", ",False
template_261,greek,", ",False
template_262,greek,", ",False
template_263,greek,", ",False
template_264,greek,", ",False
template_265,greek,", ",False
template_266,greek,; ,False
template_267,greek,; ,False
template_268,greek,; ,False
template_269,greek,; ,False
template_270,greek,; ,False
template_271,greek,; ,False
template_272,greek,; ,False
template_273,greek, | ,False
template_274,greek, | ,False
template_275,greek, | ,False
template_276,greek, | ,False
template_277,greek, | ,False
template_278,greek, | ,False
template_279,greek, | ,False
template_280,greek, OR ,False
template_281,greek, OR ,False
template_282,greek, OR ,False
template_283,greek, OR ,False
template_284,greek, OR ,False
template_285,greek, OR ,False
template_286,greek, OR ,False
template_287,greek, or ,False
template_288,greek, or ,False
template_289,greek, or ,False
template_290,greek, or ,False
template_291,greek, or ,False
template_292,greek, or ,False
template_293,greek, or ,False
