"statistic, pvalue, row is better than column",template_48,best set: template_8,template_24,template_12,template_46,template_2,template_10,template_18,template_41,template_0,template_43,template_4,template_6,template_51,template_26,template_34,template_53,template_54,template_38,template_9,template_55,template_25,template_16,template_7,template_15,template_49,template_30,template_42,template_3,template_14,template_20,template_52,template_40,template_27,template_22,template_50,template_37,template_17,template_32,template_28,template_44,template_23,template_45,template_47,template_36,template_13,template_35,template_21,template_11,template_1,template_39,template_19,template_29,template_33,template_31,template_5,group
template_43,"15.00, 0.61, False","14.00, 0.60, False","16.00, 0.62, False","16.00, 0.74, False","14.00, 0.72, False","14.00, 0.86, False","18.00, 1.00, False","18.00, 1.00, False","12.00, 1.00, True","17.00, 1.00, True",None,"17.00, 1.00, None","17.00, 1.00, None","11.00, 1.00, True","17.00, 1.00, True","16.00, 0.86, True","9.00, 0.82, True","14.00, 0.86, True","15.00, 0.86, True","13.00, 0.85, True","9.00, 0.66, True","8.00, 0.65, True","15.00, 0.73, True","15.00, 0.73, True","11.00, 0.69, True","8.00, 0.50, True","18.00, 0.64, True","14.00, 0.60, True","14.00, 0.60, True","11.00, 0.56, True","16.00, 0.62, True","13.00, 0.47, True","17.00, 0.52, True","9.00, 0.40, True","14.00, 0.49, True","12.00, 0.46, True","11.00, 0.44, True","14.00, 0.49, True","15.00, 0.41, True","13.00, 0.38, True","17.00, 0.43, True","10.00, 0.25, True","12.00, 0.28, True","6.00, 0.17, True","13.00, 0.30, True","8.00, 0.15, True","10.00, 0.14, True","9.00, 0.12, True","7.00, 0.06, True","7.00, 0.06, True","5.00, 0.04, True","10.00, 0.07, True","10.00, 0.07, True","9.00, 0.03, True","12.00, 0.03, True","7.00, 0.01, True",A
template_4,"10.00, 0.54, False","5.00, 0.42, False","8.00, 0.50, False","6.00, 0.61, False","9.00, 0.66, False","6.00, 0.79, False","7.00, 1.00, False","7.00, 1.00, False","14.00, 1.00, True","10.00, 1.00, True","17.00, 1.00, True",None,"3.00, 1.00, None","16.00, 1.00, True","9.00, 1.00, True","11.00, 0.84, True","16.00, 0.86, True","10.00, 0.83, True","9.00, 0.82, True","10.00, 0.83, True","18.00, 0.75, True","15.00, 0.73, True","7.00, 0.63, True","9.00, 0.66, True","15.00, 0.73, True","10.00, 0.54, True","10.00, 0.54, True","12.00, 0.57, True","11.00, 0.56, True","9.00, 0.52, True","10.00, 0.54, True","7.00, 0.36, True","11.00, 0.44, True","15.00, 0.50, True","8.00, 0.38, True","8.00, 0.38, True","13.00, 0.47, True","10.00, 0.42, True","8.00, 0.29, True","11.00, 0.34, True","6.00, 0.24, True","11.00, 0.26, True","9.00, 0.23, True","10.00, 0.25, True","9.00, 0.23, True","10.00, 0.18, True","11.00, 0.15, True","10.00, 0.14, True","9.00, 0.09, True","9.00, 0.09, True","9.00, 0.09, True","7.00, 0.04, True","13.00, 0.10, True","8.00, 0.02, True","9.00, 0.02, True","5.00, 0.00, True",A
template_6,"8.00, 0.50, False","3.00, 0.34, False","9.00, 0.52, False","7.00, 0.63, False","9.00, 0.66, False","5.00, 0.77, False","7.00, 1.00, False","8.00, 1.00, False","13.00, 1.00, True","11.00, 1.00, True","17.00, 1.00, True","3.00, 1.00, True",None,"16.00, 1.00, True","11.00, 1.00, True","10.00, 0.83, True","15.00, 0.86, True","11.00, 0.84, True","10.00, 0.83, True","10.00, 0.83, True","17.00, 0.74, True","15.00, 0.73, True","6.00, 0.61, True","11.00, 0.69, True","16.00, 0.74, True","12.00, 0.57, True","9.00, 0.52, True","12.00, 0.57, True","11.00, 0.56, True","10.00, 0.54, True","9.00, 0.52, True","7.00, 0.36, True","12.00, 0.46, True","15.00, 0.50, True","6.00, 0.33, True","6.00, 0.33, True","15.00, 0.50, True","11.00, 0.44, True","8.00, 0.29, True","12.00, 0.36, True","5.00, 0.21, True","11.00, 0.26, True","9.00, 0.23, True","11.00, 0.26, True","7.00, 0.19, True","10.00, 0.18, True","12.00, 0.16, True","12.00, 0.16, True","9.00, 0.09, True","10.00, 0.10, True","9.00, 0.09, True","9.00, 0.06, True","13.00, 0.10, True","9.00, 0.03, True","10.00, 0.02, True","6.00, 0.01, True",A
template_51,"17.00, 0.52, False","15.00, 0.50, False","12.00, 0.46, False","16.00, 0.62, False","15.00, 0.61, False","14.00, 0.72, False","17.00, 0.87, False","17.00, 0.87, False","11.00, 1.00, False","18.00, 1.00, False","11.00, 1.00, False","16.00, 1.00, False","16.00, 1.00, False",None,"15.00, 1.00, None","20.00, 1.00, True","11.00, 1.00, True","13.00, 1.00, True","13.00, 1.00, True","11.00, 1.00, True","12.00, 0.85, True","8.00, 0.81, True","15.00, 0.86, True","14.00, 0.86, True","12.00, 0.85, True","11.00, 0.69, True","16.00, 0.74, True","14.00, 0.72, True","13.00, 0.71, True","11.00, 0.69, True","17.00, 0.74, True","12.00, 0.57, True","12.00, 0.57, True","10.00, 0.54, True","12.00, 0.57, True","12.00, 0.57, True","7.00, 0.48, True","8.00, 0.50, True","18.00, 0.53, True","16.00, 0.51, True","13.00, 0.47, True","4.00, 0.18, True","6.00, 0.24, True","7.00, 0.26, True","12.00, 0.36, True","10.00, 0.25, True","9.00, 0.17, True","7.00, 0.13, True","10.00, 0.14, True","11.00, 0.15, True","7.00, 0.09, True","10.00, 0.10, True","8.00, 0.08, True","7.00, 0.03, True","6.00, 0.01, True","7.00, 0.01, True",A
template_26,"8.00, 0.38, False","7.00, 0.36, False","4.00, 0.27, False","7.00, 0.48, False","8.00, 0.50, False","8.00, 0.65, False","8.00, 0.81, False","8.00, 0.81, False","13.00, 1.00, False","10.00, 1.00, False","17.00, 1.00, False","9.00, 1.00, False","11.00, 1.00, False","15.00, 1.00, True",None,"14.00, 1.00, True","15.00, 1.00, True","9.00, 1.00, True","8.00, 1.00, True","10.00, 1.00, True","15.00, 0.86, True","13.00, 0.85, True","9.00, 0.82, True","13.00, 0.85, True","17.00, 0.87, True","12.00, 0.70, True","12.00, 0.70, True","11.00, 0.69, True","14.00, 0.72, True","7.00, 0.63, True","10.00, 0.68, True","8.00, 0.50, True","8.00, 0.50, True","11.00, 0.56, True","7.00, 0.48, True","10.00, 0.54, True","14.00, 0.60, True","13.00, 0.58, True","9.00, 0.40, True","10.00, 0.42, True","10.00, 0.42, True","10.00, 0.33, True","13.00, 0.38, True","10.00, 0.33, True","10.00, 0.33, True","9.00, 0.23, True","12.00, 0.22, True","9.00, 0.17, True","9.00, 0.12, True","10.00, 0.14, True","10.00, 0.14, True","7.00, 0.06, True","14.00, 0.14, True","10.00, 0.05, True","12.00, 0.05, True","6.00, 0.01, True",A
template_34,"3.00, 0.15, False","9.00, 0.31, False","9.00, 0.31, False","15.00, 0.50, False","8.00, 0.38, False","8.00, 0.50, False","16.00, 0.74, False","7.00, 0.63, False","16.00, 0.86, False","15.00, 0.86, False","16.00, 0.86, False","11.00, 0.84, False","10.00, 0.83, False","20.00, 1.00, False","14.00, 1.00, False",None,"17.00, 1.00, None","17.00, 1.00, None","11.00, 1.00, None","18.00, 1.00, None","17.00, 1.00, True","18.00, 1.00, True","7.00, 1.00, True","18.00, 1.00, True","20.00, 1.00, True","13.00, 0.85, True","6.00, 0.79, True","13.00, 0.85, True","20.00, 0.88, True","12.00, 0.85, True","7.00, 0.80, True","11.00, 0.69, True","13.00, 0.71, True","18.00, 0.75, True","7.00, 0.63, True","10.00, 0.68, True","16.00, 0.74, True","17.00, 0.74, True","2.00, 0.29, True","9.00, 0.52, True","10.00, 0.54, True","16.00, 0.51, True","16.00, 0.51, True","14.00, 0.49, True","6.00, 0.33, True","14.00, 0.39, True","13.00, 0.30, True","14.00, 0.31, True","15.00, 0.26, True","13.00, 0.23, True","11.00, 0.20, True","10.00, 0.14, True","17.00, 0.22, True","12.00, 0.09, True","14.00, 0.08, True","7.00, 0.02, True",A
template_53,"12.00, 0.36, False","13.00, 0.38, False","11.00, 0.34, False","16.00, 0.51, False","12.00, 0.46, False","14.00, 0.60, False","13.00, 0.71, False","14.00, 0.72, False","12.00, 0.85, False","15.00, 0.86, False","9.00, 0.82, False","16.00, 0.86, False","15.00, 0.86, False","11.00, 1.00, False","15.00, 1.00, False","17.00, 1.00, True",None,"14.00, 1.00, None","14.00, 1.00, None","13.00, 1.00, None","6.00, 1.00, True","10.00, 1.00, True","15.00, 1.00, True","13.00, 1.00, True","16.00, 1.00, True","12.00, 0.85, True","17.00, 0.87, True","16.00, 0.86, True","12.00, 0.85, True","13.00, 0.85, True","13.00, 0.85, True","12.00, 0.70, True","15.00, 0.73, True","12.00, 0.70, True","14.00, 0.72, True","14.00, 0.72, True","14.00, 0.72, True","12.00, 0.70, True","16.00, 0.62, True","16.00, 0.62, True","16.00, 0.62, True","12.00, 0.46, True","11.00, 0.44, True","5.00, 0.30, True","14.00, 0.49, True","9.00, 0.31, True","12.00, 0.28, True","11.00, 0.26, True","8.00, 0.15, True","10.00, 0.18, True","6.00, 0.12, True","11.00, 0.15, True","14.00, 0.19, True","9.00, 0.06, True","12.00, 0.07, True","8.00, 0.02, True",A
template_54,"11.00, 0.34, False","9.00, 0.31, False","6.00, 0.24, False","7.00, 0.36, False","9.00, 0.40, False","10.00, 0.54, False","8.00, 0.65, False","11.00, 0.69, False","10.00, 0.83, False","11.00, 0.84, False","14.00, 0.86, False","10.00, 0.83, False","11.00, 0.84, False","13.00, 1.00, False","9.00, 1.00, False","17.00, 1.00, True","14.00, 1.00, True",None,"10.00, 1.00, None","15.00, 1.00, None","14.00, 1.00, True","14.00, 1.00, True","14.00, 1.00, True","15.00, 1.00, True","14.00, 1.00, True","13.00, 0.85, True","16.00, 0.86, True","10.00, 0.83, True","15.00, 0.86, True","11.00, 0.84, True","14.00, 0.86, True","8.00, 0.65, True","10.00, 0.68, True","12.00, 0.70, True","11.00, 0.69, True","11.00, 0.69, True","16.00, 0.74, True","13.00, 0.71, True","13.00, 0.58, True","14.00, 0.60, True","11.00, 0.56, True","12.00, 0.46, True","14.00, 0.49, True","11.00, 0.44, True","13.00, 0.47, True","11.00, 0.34, True","14.00, 0.31, True","11.00, 0.26, True","12.00, 0.22, True","14.00, 0.24, True","9.00, 0.17, True","10.00, 0.14, True","13.00, 0.18, True","11.00, 0.08, True","12.00, 0.07, True","9.00, 0.03, True",A
template_38,"9.00, 0.31, False","7.00, 0.26, False","5.00, 0.21, False","12.00, 0.46, False","8.00, 0.38, False","8.00, 0.50, False","10.00, 0.68, False","10.00, 0.68, False","11.00, 0.84, False","11.00, 0.84, False","15.00, 0.86, False","9.00, 0.82, False","10.00, 0.83, False","13.00, 1.00, False","8.00, 1.00, False","11.00, 1.00, True","14.00, 1.00, True","10.00, 1.00, True",None,"14.00, 1.00, None","15.00, 1.00, True","12.00, 1.00, True","10.00, 1.00, True","16.00, 1.00, True","17.00, 1.00, True","13.00, 0.85, True","10.00, 0.83, True","12.00, 0.85, True","15.00, 0.86, True","6.00, 0.79, True","12.00, 0.85, True","6.00, 0.61, True","5.00, 0.58, True","14.00, 0.72, True","8.00, 0.65, True","10.00, 0.68, True","13.00, 0.71, True","13.00, 0.71, True","7.00, 0.48, True","10.00, 0.54, True","10.00, 0.54, True","10.00, 0.42, True","13.00, 0.47, True","13.00, 0.47, True","8.00, 0.38, True","11.00, 0.34, True","11.00, 0.26, True","12.00, 0.28, True","11.00, 0.20, True","13.00, 0.23, True","6.00, 0.12, True","9.00, 0.12, True","13.00, 0.18, True","10.00, 0.07, True","11.00, 0.06, True","8.00, 0.02, True",A
template_9,"13.00, 0.38, False","10.00, 0.33, False","10.00, 0.33, False","10.00, 0.42, False","12.00, 0.46, False","11.00, 0.56, False","11.00, 0.69, False","10.00, 0.68, False","11.00, 0.84, False","12.00, 0.85, False","13.00, 0.85, False","10.00, 0.83, False","10.00, 0.83, False","11.00, 1.00, False","10.00, 1.00, False","18.00, 1.00, True","13.00, 1.00, True","15.00, 1.00, True","14.00, 1.00, True",None,"13.00, 1.00, True","9.00, 1.00, True","13.00, 1.00, True","10.00, 1.00, True","13.00, 1.00, True","11.00, 0.84, True","15.00, 0.86, True","16.00, 0.86, True","6.00, 0.79, True","10.00, 0.83, True","12.00, 0.85, True","11.00, 0.69, True","12.00, 0.70, True","10.00, 0.68, True","12.00, 0.70, True","13.00, 0.71, True","10.00, 0.68, True","9.00, 0.66, True","14.00, 0.60, True","16.00, 0.62, True","13.00, 0.58, True","5.00, 0.30, True","8.00, 0.38, True","7.00, 0.36, True","15.00, 0.50, True","5.00, 0.21, True","8.00, 0.21, True","8.00, 0.21, True","5.00, 0.10, True","6.00, 0.12, True","9.00, 0.17, True","8.00, 0.11, True","12.00, 0.16, True","5.00, 0.03, True","8.00, 0.04, True","1.00, 0.00, True",A
template_55,"12.00, 0.28, False","12.00, 0.28, False","12.00, 0.28, False","17.00, 0.43, False","11.00, 0.34, False","14.00, 0.49, False","14.00, 0.60, False","14.00, 0.60, False","13.00, 0.71, False","16.00, 0.74, False","9.00, 0.66, False","18.00, 0.75, False","17.00, 0.74, False","12.00, 0.85, False","15.00, 0.86, False","17.00, 1.00, False","6.00, 1.00, False","14.00, 1.00, False","15.00, 1.00, False","13.00, 1.00, False",None,"10.00, 1.00, None","16.00, 1.00, None","17.00, 1.00, None","16.00, 1.00, None","12.00, 1.00, True","19.00, 1.00, True","16.00, 1.00, True","14.00, 1.00, True","13.00, 1.00, True","15.00, 1.00, True","14.00, 0.86, True","15.00, 0.86, True","10.00, 0.83, True","14.00, 0.86, True","13.00, 0.85, True","18.00, 0.87, True","17.00, 0.87, True","18.00, 0.75, True","16.00, 0.74, True","16.00, 0.74, True","14.00, 0.60, True","16.00, 0.62, True","6.00, 0.45, True","16.00, 0.62, True","9.00, 0.40, True","16.00, 0.42, True","12.00, 0.36, True","8.00, 0.21, True","12.00, 0.28, True","10.00, 0.25, True","11.00, 0.20, True","17.00, 0.28, True","14.00, 0.14, True","17.00, 0.14, True","8.00, 0.04, True",A
