"statistic, pvalue, row is better than column",template_37,template_36,template_39,best set: template_15,template_31,template_33,template_23,template_19,template_25,template_27,template_30,template_35,template_40,template_38,template_21,template_44,template_34,template_17,template_53,template_22,template_41,template_48,template_29,template_20,template_45,template_55,template_28,template_24,template_52,template_16,template_54,template_32,template_14,template_18,template_50,template_26,template_42,template_46,template_49,template_51,template_47,template_2,template_43,template_3,template_8,template_9,template_10,template_11,template_12,template_5,template_13,template_7,template_6,template_4,template_1,template_0,group,accuracy
template_30,"25.00, 0.68, False","10.00, 0.54, False","24.00, 0.68, False","26.00, 0.69, False","21.00, 0.77, False","25.00, 0.78, False","26.00, 0.79, False","30.00, 0.90, False","31.00, 1.00, False","26.00, 1.00, False",None,"28.00, 1.00, None","16.00, 1.00, None","17.00, 1.00, None","28.00, 1.00, True","9.00, 1.00, True","14.00, 1.00, True","27.00, 1.00, True","29.00, 0.90, True","11.00, 0.84, True","27.00, 0.89, True","15.00, 0.73, True","27.00, 0.79, True","13.00, 0.58, True","27.00, 0.69, True","29.00, 0.61, True","13.00, 0.47, True","18.00, 0.53, True","15.00, 0.50, True","7.00, 0.26, True","16.00, 0.34, True","12.00, 0.28, True","18.00, 0.36, True","14.00, 0.24, True","7.00, 0.13, True","16.00, 0.27, True","20.00, 0.20, True","12.00, 0.09, True","23.00, 0.18, True","25.00, 0.16, True","23.00, 0.15, True","11.00, 0.03, True","25.00, 0.06, True","19.00, 0.03, True","10.00, 0.00, True","18.00, 0.00, True","11.00, 0.00, True","20.00, 0.00, True","15.00, 0.00, True","22.00, 0.00, True","20.00, 0.00, True","20.00, 0.00, True","6.00, 0.00, True","12.00, 0.00, True","18.00, 0.00, True","9.00, 0.00, True",A,0.731
template_35,"10.00, 0.54, False","21.00, 0.66, False","14.00, 0.60, False","14.00, 0.60, False","14.00, 0.72, False","9.00, 0.66, False","14.00, 0.72, False","13.00, 0.85, False","17.00, 1.00, False","17.00, 1.00, False","28.00, 1.00, True",None,"25.00, 1.00, None","27.00, 1.00, None","10.00, 1.00, True","28.00, 1.00, True","24.00, 1.00, True","17.00, 1.00, True","19.00, 0.87, True","22.00, 0.88, True","14.00, 0.86, True","27.00, 0.79, True","11.00, 0.69, True","25.00, 0.68, True","16.00, 0.62, True","17.00, 0.52, True","22.00, 0.57, True","27.00, 0.60, True","25.00, 0.59, True","27.00, 0.52, True","24.00, 0.42, True","22.00, 0.40, True","22.00, 0.40, True","23.00, 0.34, True","24.00, 0.35, True","26.00, 0.37, True","23.00, 0.23, True","26.00, 0.21, True","13.00, 0.10, True","11.00, 0.06, True","14.00, 0.08, True","26.00, 0.11, True","20.00, 0.04, True","16.00, 0.02, True","23.00, 0.01, True","16.00, 0.00, True","25.00, 0.00, True","14.00, 0.00, True","24.00, 0.00, True","13.00, 0.00, True","15.00, 0.00, True","11.00, 0.00, True","21.00, 0.00, True","20.00, 0.00, True","14.00, 0.00, True","17.00, 0.00, True",A,0.731
template_40,"25.00, 0.68, False","10.00, 0.54, False","19.00, 0.64, False","21.00, 0.66, False","21.00, 0.77, False","23.00, 0.78, False","22.00, 0.77, False","27.00, 0.89, False","24.00, 1.00, False","23.00, 1.00, False","16.00, 1.00, True","25.00, 1.00, True",None,"9.00, 1.00, None","25.00, 1.00, True","20.00, 1.00, True","16.00, 1.00, True","24.00, 1.00, True","24.00, 0.89, True","11.00, 0.84, True","22.00, 0.88, True","18.00, 0.75, True","24.00, 0.78, True","16.00, 0.62, True","29.00, 0.70, True","22.00, 0.57, True","9.00, 0.40, True","13.00, 0.47, True","14.00, 0.49, True","14.00, 0.39, True","16.00, 0.34, True","12.00, 0.28, True","16.00, 0.34, True","12.00, 0.22, True","16.00, 0.27, True","8.00, 0.15, True","19.00, 0.19, True","17.00, 0.14, True","23.00, 0.18, True","26.00, 0.17, True","23.00, 0.15, True","15.00, 0.05, True","22.00, 0.05, True","17.00, 0.02, True","14.00, 0.00, True","18.00, 0.00, True","12.00, 0.00, True","17.00, 0.00, True","13.00, 0.00, True","19.00, 0.00, True","19.00, 0.00, True","18.00, 0.00, True","12.00, 0.00, True","15.00, 0.00, True","15.00, 0.00, True","11.00, 0.00, True",A,0.731
template_38,"25.00, 0.68, False","7.00, 0.48, False","17.00, 0.63, False","22.00, 0.67, False","22.00, 0.77, False","25.00, 0.78, False","22.00, 0.77, False","28.00, 0.90, False","24.00, 1.00, False","23.00, 1.00, False","17.00, 1.00, True","27.00, 1.00, True","9.00, 1.00, True",None,"27.00, 1.00, True","17.00, 1.00, True","13.00, 1.00, True","26.00, 1.00, True","23.00, 0.89, True","9.00, 0.82, True","22.00, 0.88, True","18.00, 0.75, True","27.00, 0.79, True","16.00, 0.62, True","28.00, 0.70, True","23.00, 0.58, True","12.00, 0.46, True","11.00, 0.44, True","12.00, 0.46, True","13.00, 0.38, True","16.00, 0.34, True","11.00, 0.26, True","18.00, 0.36, True","12.00, 0.22, True","12.00, 0.22, True","11.00, 0.20, True","20.00, 0.20, True","13.00, 0.10, True","25.00, 0.20, True","26.00, 0.17, True","22.00, 0.14, True","15.00, 0.05, True","23.00, 0.06, True","20.00, 0.03, True","11.00, 0.00, True","20.00, 0.00, True","6.00, 0.00, True","19.00, 0.00, True","15.00, 0.00, True","20.00, 0.00, True","20.00, 0.00, True","20.00, 0.00, True","9.00, 0.00, True","13.00, 0.00, True","18.00, 0.00, True","11.00, 0.00, True",A,0.731
template_21,"11.00, 0.44, False","23.00, 0.58, False","14.00, 0.49, False","12.00, 0.46, False","13.00, 0.58, False","9.00, 0.52, False","11.00, 0.56, False","8.00, 0.65, False","14.00, 0.86, False","15.00, 0.86, False","28.00, 1.00, False","10.00, 1.00, False","25.00, 1.00, False","27.00, 1.00, False",None,"29.00, 1.00, None","27.00, 1.00, None","14.00, 1.00, None","19.00, 1.00, True","24.00, 1.00, True","16.00, 1.00, True","29.00, 0.90, True","12.00, 0.85, True","25.00, 0.78, True","15.00, 0.73, True","19.00, 0.64, True","23.00, 0.67, True","28.00, 0.70, True","27.00, 0.69, True","28.00, 0.61, True","26.00, 0.51, True","25.00, 0.50, True","24.00, 0.50, True","25.00, 0.43, True","23.00, 0.41, True","24.00, 0.42, True","26.00, 0.31, True","29.00, 0.27, True","10.00, 0.10, True","10.00, 0.07, True","12.00, 0.09, True","26.00, 0.14, True","22.00, 0.07, True","16.00, 0.03, True","21.00, 0.01, True","15.00, 0.00, True","24.00, 0.00, True","14.00, 0.00, True","22.00, 0.00, True","13.00, 0.00, True","17.00, 0.00, True","7.00, 0.00, True","21.00, 0.00, True","21.00, 0.00, True","14.00, 0.00, True","18.00, 0.00, True",A,0.726
template_44,"27.00, 0.60, False","12.00, 0.46, False","24.00, 0.58, False","28.00, 0.61, False","22.00, 0.67, False","26.00, 0.69, False","24.00, 0.68, False","31.00, 0.80, False","30.00, 0.90, False","26.00, 0.89, False","9.00, 1.00, False","28.00, 1.00, False","20.00, 1.00, False","17.00, 1.00, False","29.00, 1.00, True",None,"16.00, 1.00, None","26.00, 1.00, None","30.00, 1.00, True","13.00, 1.00, True","28.00, 1.00, True","15.00, 0.86, True","29.00, 0.90, True","15.00, 0.73, True","26.00, 0.79, True","28.00, 0.70, True","19.00, 0.64, True","19.00, 0.64, True","13.00, 0.58, True","11.00, 0.44, True","17.00, 0.43, True","15.00, 0.41, True","22.00, 0.48, True","15.00, 0.32, True","7.00, 0.19, True","20.00, 0.38, True","19.00, 0.24, True","10.00, 0.10, True","25.00, 0.25, True","28.00, 0.22, True","26.00, 0.21, True","12.00, 0.05, True","28.00, 0.10, True","21.00, 0.05, True","13.00, 0.00, True","22.00, 0.00, True","11.00, 0.00, True","23.00, 0.00, True","17.00, 0.00, True","26.00, 0.00, True","21.00, 0.00, True","21.00, 0.00, True","7.00, 0.00, True","13.00, 0.00, True","21.00, 0.00, True","13.00, 0.00, True",A,0.726
template_34,"23.00, 0.58, False","11.00, 0.44, False","21.00, 0.56, False","23.00, 0.58, False","23.00, 0.67, False","22.00, 0.67, False","23.00, 0.67, False","24.00, 0.78, False","27.00, 0.89, False","23.00, 0.89, False","14.00, 1.00, False","24.00, 1.00, False","16.00, 1.00, False","13.00, 1.00, False","27.00, 1.00, True","16.00, 1.00, True",None,"28.00, 1.00, None","28.00, 1.00, True","11.00, 1.00, True","25.00, 1.00, True","12.00, 0.85, True","28.00, 0.90, True","11.00, 0.69, True","29.00, 0.80, True","23.00, 0.67, True","10.00, 0.54, True","14.00, 0.60, True","16.00, 0.62, True","13.00, 0.47, True","19.00, 0.45, True","3.00, 0.15, True","18.00, 0.44, True","11.00, 0.26, True","10.00, 0.25, True","19.00, 0.37, True","23.00, 0.28, True","11.00, 0.11, True","26.00, 0.25, True","25.00, 0.20, True","23.00, 0.18, True","16.00, 0.07, True","24.00, 0.08, True","21.00, 0.05, True","10.00, 0.00, True","20.00, 0.00, True","10.00, 0.00, True","22.00, 0.00, True","16.00, 0.00, True","20.00, 0.00, True","21.00, 0.00, True","18.00, 0.00, True","8.00, 0.00, True","9.00, 0.00, True","20.00, 0.00, True","9.00, 0.00, True",A,0.726
template_17,"17.00, 0.52, False","23.00, 0.58, False","12.00, 0.46, False","14.00, 0.49, False","7.00, 0.48, False","16.00, 0.62, False","11.00, 0.56, False","13.00, 0.71, False","13.00, 0.85, False","19.00, 0.87, False","27.00, 1.00, False","17.00, 1.00, False","24.00, 1.00, False","26.00, 1.00, False","14.00, 1.00, True","26.00, 1.00, True","28.00, 1.00, True",None,"16.00, 1.00, True","23.00, 1.00, True","18.00, 1.00, True","29.00, 0.90, True","14.00, 0.86, True","27.00, 0.79, True","12.00, 0.70, True","19.00, 0.64, True","27.00, 0.69, True","29.00, 0.70, True","29.00, 0.70, True","25.00, 0.59, True","27.00, 0.52, True","25.00, 0.50, True","27.00, 0.52, True","27.00, 0.44, True","25.00, 0.43, True","24.00, 0.42, True","28.00, 0.32, True","28.00, 0.27, True","14.00, 0.14, True","13.00, 0.10, True","15.00, 0.12, True","24.00, 0.12, True","21.00, 0.06, True","15.00, 0.03, True","23.00, 0.01, True","18.00, 0.00, True","25.00, 0.00, True","17.00, 0.00, True","24.00, 0.00, True","18.00, 0.00, True","22.00, 0.00, True","15.00, 0.00, True","21.00, 0.00, True","26.00, 0.00, True","17.00, 0.00, True","20.00, 0.00, True",A,0.726
template_53,"14.00, 0.39, False","23.00, 0.49, False","8.00, 0.29, False","18.00, 0.44, False","13.00, 0.47, False","16.00, 0.51, False","13.00, 0.47, False","18.00, 0.64, False","10.00, 0.68, False","18.00, 0.75, False","29.00, 0.90, False","19.00, 0.87, False","24.00, 0.89, False","23.00, 0.89, False","19.00, 1.00, False","30.00, 1.00, False","28.00, 1.00, False","16.00, 1.00, False",None,"24.00, 1.00, None","16.00, 1.00, None","26.00, 1.00, True","15.00, 1.00, True","27.00, 0.89, True","16.00, 0.86, True","15.00, 0.73, True","25.00, 0.78, True","24.00, 0.78, True","24.00, 0.78, True","25.00, 0.68, True","26.00, 0.60, True","28.00, 0.61, True","22.00, 0.57, True","25.00, 0.50, True","23.00, 0.49, True","24.00, 0.50, True","24.00, 0.35, True","23.00, 0.28, True","13.00, 0.18, True","10.00, 0.10, True","14.00, 0.14, True","23.00, 0.15, True","20.00, 0.08, True","17.00, 0.04, True","20.00, 0.01, True","14.00, 0.00, True","18.00, 0.00, True","11.00, 0.00, True","20.00, 0.00, True","12.00, 0.00, True","15.00, 0.00, True","14.00, 0.00, True","19.00, 0.00, True","22.00, 0.00, True","19.00, 0.00, True","16.00, 0.00, True",A,0.721
template_22,"21.00, 0.47, False","6.00, 0.24, False","18.00, 0.44, False","19.00, 0.45, False","19.00, 0.54, False","19.00, 0.54, False","20.00, 0.55, False","24.00, 0.68, False","22.00, 0.77, False","23.00, 0.78, False","11.00, 0.84, False","22.00, 0.88, False","11.00, 0.84, False","9.00, 0.82, False","24.00, 1.00, False","13.00, 1.00, False","11.00, 1.00, False","23.00, 1.00, False","24.00, 1.00, True",None,"25.00, 1.00, None","16.00, 1.00, True","24.00, 1.00, True","12.00, 0.85, True","27.00, 0.89, True","24.00, 0.78, True","11.00, 0.69, True","11.00, 0.69, True","16.00, 0.74, True","11.00, 0.56, True","18.00, 0.53, True","9.00, 0.40, True","11.00, 0.44, True","9.00, 0.31, True","10.00, 0.33, True","14.00, 0.39, True","22.00, 0.33, True","13.00, 0.18, True","23.00, 0.28, True","22.00, 0.22, True","22.00, 0.22, True","15.00, 0.09, True","25.00, 0.10, True","21.00, 0.06, True","8.00, 0.00, True","21.00, 0.01, True","9.00, 0.00, True","20.00, 0.00, True","17.00, 0.00, True","22.00, 0.00, True","23.00, 0.00, True","20.00, 0.00, True","10.00, 0.00, True","12.00, 0.00, True","19.00, 0.00, True","11.00, 0.00, True",A,0.721
template_41,"11.00, 0.34, False","20.00, 0.46, False","5.00, 0.21, False","15.00, 0.41, False","15.00, 0.50, False","13.00, 0.47, False","10.00, 0.42, False","15.00, 0.61, False","13.00, 0.71, False","11.00, 0.69, False","27.00, 0.89, False","14.00, 0.86, False","22.00, 0.88, False","22.00, 0.88, False","16.00, 1.00, False","28.00, 1.00, False","25.00, 1.00, False","18.00, 1.00, False","16.00, 1.00, True","25.00, 1.00, True",None,"27.00, 1.00, True","16.00, 1.00, True","26.00, 0.89, True","21.00, 0.88, True","12.00, 0.70, True","23.00, 0.78, True","27.00, 0.79, True","25.00, 0.78, True","25.00, 0.68, True","24.00, 0.58, True","25.00, 0.59, True","27.00, 0.60, True","26.00, 0.51, True","24.00, 0.50, True","26.00, 0.51, True","23.00, 0.34, True","26.00, 0.31, True","16.00, 0.21, True","14.00, 0.14, True","17.00, 0.17, True","24.00, 0.16, True","18.00, 0.06, True","18.00, 0.05, True","23.00, 0.02, True","18.00, 0.00, True","22.00, 0.00, True","16.00, 0.00, True","22.00, 0.00, True","14.00, 0.00, True","15.00, 0.00, True","15.00, 0.00, True","17.00, 0.00, True","21.00, 0.00, True","17.00, 0.00, True","18.00, 0.00, True",A,0.721
